,PID,SalePrice,MSSubClass,BldgType,HouseStyle,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,SaleCondition,SaleType,MoSold,YrSold
18,909101060,67000,30,1Fam,1Story,864,0,0,864,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,9,2008
19,534152050,205000,20,1Fam,1Story,1610,0,0,1610,1.0,0.0,2,0,3,1,6,Typ,Normal,WD ,2,2010
20,923252075,131250,80,1Fam,SLvl,1091,0,0,1091,0.0,1.0,1,0,2,1,5,Typ,Normal,WD ,8,2009
21,531376060,181000,20,1Fam,1Story,1486,0,0,1486,0.0,0.0,2,0,3,1,7,Typ,Normal,WD ,6,2007
22,902201120,115000,20,1Fam,1Story,789,0,0,789,0.0,0.0,1,0,2,1,5,Typ,Partial,WD ,4,2008
23,923228080,98000,160,Twnhs,2Story,546,546,0,1092,0.0,0.0,2,1,3,1,6,Typ,Normal,WD ,3,2008
24,902326030,265979,70,1Fam,2Story,1320,1320,0,2640,0.0,0.0,1,1,4,1,8,Typ,Normal,WD ,5,2009
25,527451330,105500,160,Twnhs,2Story,525,567,0,1092,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,3,2010
26,528218100,168165,60,1Fam,2Story,608,850,0,1458,0.0,0.0,2,0,3,1,6,Typ,Partial,New,5,2007
27,916386140,201000,20,1Fam,1Story,1466,0,0,1466,0.0,0.0,2,0,3,1,7,Typ,Normal,WD ,7,2009
28,533221090,177500,160,Twnhs,2Story,769,804,0,1573,0.0,0.0,2,1,3,1,5,Typ,Normal,WD ,6,2010
29,534128010,200000,60,1Fam,2Story,1107,983,0,2090,1.0,0.0,2,1,3,1,7,Typ,Normal,WD ,11,2009
30,528106110,450000,20,1Fam,1Story,2046,0,0,2046,1.0,0.0,2,1,2,1,7,Typ,Normal,WD ,8,2007
31,902206260,91300,30,1Fam,1Story,886,0,0,886,0.0,0.0,1,0,2,1,4,Typ,Normal,WD ,12,2009
32,528222090,173500,20,1Fam,1Story,1258,0,0,1258,0.0,0.0,2,0,3,1,6,Typ,Partial,New,8,2007
33,528218150,199500,20,1Fam,1Story,1324,0,0,1324,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,1,2010
34,903400180,207000,50,1Fam,1.5Fin,1053,795,0,1848,0.0,0.0,1,1,4,1,8,Typ,Normal,WD ,6,2008
35,535453210,155000,20,1Fam,1Story,1269,0,0,1269,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,6,2008
36,916386010,220000,20,1Fam,1Story,1346,0,0,1346,1.0,0.0,2,0,3,1,6,Typ,Normal,WD ,5,2010
37,907181090,196000,60,1Fam,2Story,856,893,0,1749,0.0,0.0,2,1,3,1,7,Typ,Normal,WD ,6,2006
38,902206020,61500,30,1Fam,1Story,492,0,0,492,1.0,0.0,1,0,1,1,3,Typ,Normal,WD ,6,2006
39,527327050,195000,60,1Fam,2Story,1118,912,0,2030,0.0,0.0,2,1,4,1,8,Typ,Normal,WD ,6,2007
40,527455250,129250,20,1Fam,1Story,988,0,0,988,1.0,0.0,1,0,3,1,5,Typ,Normal,WD ,11,2007
41,528326110,291000,60,1Fam,2Story,1533,639,0,2172,0.0,0.0,2,1,4,1,8,Typ,Normal,WD ,6,2008
42,914452190,134000,20,1Fam,1Story,1080,0,0,1080,0.0,0.0,1,1,3,1,5,Typ,Normal,WD ,6,2007
43,535425060,186000,20,1Fam,1Story,1312,0,0,1312,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,4,2008
44,532376250,133500,20,1Fam,1Story,925,0,0,925,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,10,2006
45,535379110,148000,70,1Fam,2Story,751,783,0,1534,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,7,2007
46,528118010,325300,60,1Fam,2Story,1158,1218,0,2376,0.0,0.0,3,1,4,1,9,Typ,Partial,New,11,2006
47,528235160,215000,60,1Fam,2Story,847,1112,0,1959,0.0,0.0,2,1,4,1,8,Typ,Normal,WD ,7,2007
48,905478030,131000,50,1Fam,1.5Fin,1148,568,0,1716,0.0,0.0,1,1,3,1,8,Min2,Normal,WD ,1,2009
49,902106130,109500,30,1Fam,1Story,936,0,0,936,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,5,2010
50,902102080,110000,50,1Fam,2Story,682,548,0,1230,0.0,0.0,1,1,2,1,5,Typ,Normal,WD ,5,2009
51,909176170,150000,90,Duplex,2Story,1296,1296,0,2592,2.0,0.0,2,0,6,2,12,Min2,AdjLand,WD ,1,2007
52,533206070,193800,120,TwnhsE,1Story,1565,0,0,1565,1.0,0.0,2,0,2,1,5,Typ,Partial,New,2,2007
53,527302020,178000,80,1Fam,SLvl,1140,728,0,1868,0.0,0.0,3,1,3,1,7,Typ,Abnorml,WD ,1,2007
54,907414060,179600,20,1Fam,1Story,1422,0,0,1422,0.0,0.0,2,0,3,1,7,Typ,Normal,WD ,11,2007
55,904301060,179000,90,Duplex,1Story,1200,0,0,1200,3.0,0.0,3,0,3,1,5,Typ,Alloca,WD ,3,2009
56,532479020,140000,50,1Fam,1.5Fin,1001,640,0,1641,0.0,0.0,2,0,4,1,5,Typ,Normal,WD ,7,2008
57,528110070,395000,20,1Fam,1Story,1973,0,0,1973,0.0,0.0,2,0,3,1,9,Typ,Partial,New,7,2007
58,534429130,151500,20,1Fam,1Story,1248,0,0,1248,1.0,0.0,1,0,3,1,6,Typ,Normal,WD ,5,2006
59,528365060,341000,60,1Fam,2Story,1325,1093,0,2418,1.0,0.0,2,1,3,1,9,Typ,Normal,WD ,8,2008
60,533135020,235000,60,1Fam,2Story,975,780,0,1755,0.0,1.0,2,1,3,1,7,Typ,Normal,WD ,7,2009
61,910203100,72000,30,1Fam,1Story,672,0,0,672,0.0,0.0,1,0,2,1,4,Min1,Normal,WD ,6,2006
62,905451390,154000,50,1Fam,1.5Fin,988,638,0,1626,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,5,2007
63,533213010,222000,120,TwnhsE,1Story,1726,0,0,1726,0.0,0.0,2,1,2,1,6,Typ,Partial,New,1,2009
64,528118030,390000,60,1Fam,2Story,1850,898,0,2748,1.0,0.0,2,1,4,1,9,Typ,Abnorml,WD ,10,2008
65,907200340,128200,20,1Fam,1Story,894,0,0,894,1.0,0.0,1,0,3,1,5,Typ,Normal,WD ,2,2010
66,528164060,615000,20,1Fam,1Story,2470,0,0,2470,2.0,0.0,1,1,1,1,7,Typ,Normal,WD ,2,2008
67,907202010,158000,20,1Fam,1Story,1174,0,0,1174,1.0,0.0,1,0,3,1,5,Typ,Normal,WD ,5,2008
68,528186180,254000,120,TwnhsE,1Story,1324,0,0,1324,1.0,0.0,2,0,2,1,6,Typ,Normal,WD ,12,2009
69,909250060,169000,50,1Fam,1.5Fin,1699,748,0,2447,0.0,0.0,2,0,4,1,10,Min2,Normal,WD ,3,2010
70,528315060,284500,75,1Fam,2.5Unf,1182,1017,0,2199,0.0,0.0,2,1,3,1,9,Typ,Normal,WD ,9,2008
71,528231020,184500,80,1Fam,SLvl,744,630,0,1374,1.0,0.0,2,1,3,1,7,Typ,Normal,WD ,6,2010
72,528456230,210400,20,1Fam,1Story,1335,0,0,1335,0.0,0.0,2,0,3,1,6,Typ,Partial,New,6,2007
73,907180120,214000,20,1Fam,1Story,1588,0,0,1588,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,8,2006
74,911370410,392500,120,TwnhsE,1Story,1652,0,0,1652,1.0,1.0,2,0,2,1,5,Typ,Partial,New,11,2008
75,527108090,274725,60,1Fam,2Story,887,1134,0,2021,0.0,0.0,2,1,3,1,9,Typ,Partial,New,9,2006
76,528222050,156932,60,1Fam,2Story,616,796,0,1412,0.0,0.0,2,1,3,1,6,Typ,Partial,New,3,2007
77,528429110,282922,20,1Fam,1Story,1464,0,0,1464,1.0,0.0,2,0,3,1,6,Typ,Normal,WD ,8,2007
78,902328100,144000,75,1Fam,2.5Unf,815,875,0,1690,0.0,0.0,1,0,3,1,7,Typ,Normal,ConLw,7,2006
79,527451410,88000,160,Twnhs,2Story,525,567,0,1092,0.0,0.0,1,1,3,1,6,Typ,Family,WD ,3,2010
80,531477050,67500,30,1Fam,1Story,1012,0,0,1012,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,4,2010
81,914476130,148000,80,1Fam,SLvl,1210,0,0,1210,1.0,0.0,2,0,3,1,6,Typ,Normal,WD ,5,2006
82,535453020,159000,20,1Fam,1Story,1256,0,0,1256,1.0,0.0,1,1,3,1,6,Typ,Normal,WD ,5,2008
83,535379100,120000,30,1Fam,1Story,1130,0,0,1130,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,6,2006
84,905108190,134900,85,1Fam,SFoyer,858,0,0,858,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,4,2009
85,905201110,185000,20,1Fam,1Story,1188,0,0,1188,1.0,0.0,1,0,1,1,4,Typ,Normal,WD ,6,2008
86,903227090,132500,50,1Fam,1.5Fin,825,587,0,1412,0.0,0.0,1,0,4,1,6,Typ,Normal,WD ,5,2009
87,905107300,160500,80,1Fam,SLvl,1040,0,0,1040,1.0,0.0,1,0,3,1,6,Typ,Normal,WD ,7,2006
88,903401070,165000,50,1Fam,1.5Fin,752,624,0,1376,0.0,0.0,1,0,3,1,7,Typ,Normal,WD ,2,2007
89,903230100,100000,30,1Fam,1Story,1301,0,0,1301,0.0,0.0,1,0,2,1,5,Min1,Normal,WD ,10,2009
90,527105010,189900,60,1Fam,2Story,928,701,0,1629,0.0,0.0,2,1,3,1,6,Typ,Normal,WD ,3,2010
91,528480020,227875,60,1Fam,2Story,874,887,0,1761,0.0,0.0,3,0,3,1,7,Typ,Partial,New,8,2007
92,527402130,111900,20,1Fam,1Story,936,0,0,936,0.0,0.0,1,0,2,1,4,Typ,Normal,COD,9,2008
93,909251080,145000,70,1Fam,2Story,672,644,0,1316,1.0,0.0,1,0,2,1,6,Typ,Normal,WD ,7,2008
94,908201120,118000,90,Duplex,1Story,1440,0,0,1440,0.0,0.0,2,0,4,2,8,Typ,Normal,WD ,9,2008
95,533221080,166000,160,TwnhsE,2Story,768,756,0,1524,0.0,0.0,2,1,2,1,4,Typ,Normal,WD ,6,2006
96,535178100,148000,80,1Fam,SLvl,1370,0,0,1370,1.0,0.0,1,0,3,1,6,Typ,Normal,WD ,2,2006
97,535457050,99000,20,1Fam,1Story,925,0,0,925,0.0,0.0,1,0,3,1,7,Typ,Normal,WD ,7,2007
98,923226270,86000,180,Twnhs,SFoyer,630,0,0,630,1.0,0.0,1,0,1,1,3,Typ,Normal,WD ,5,2009
99,535105090,165000,80,1Fam,SLvl,1431,0,0,1431,0.0,1.0,1,0,3,1,6,Typ,Normal,WD ,12,2008
100,533253070,211500,120,TwnhsE,1Story,1226,0,0,1226,1.0,0.0,1,0,1,1,4,Typ,Normal,WD ,9,2009
101,907280170,210000,20,1Fam,1Story,1417,0,0,1417,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,8,2009
102,914476450,228500,20,1Fam,1Story,1689,0,0,1689,1.0,0.0,2,0,3,1,6,Typ,Normal,WD ,7,2008
103,535327200,132000,20,1Fam,1Story,928,0,0,928,0.0,0.0,1,0,2,1,4,Typ,Normal,WD ,6,2007
104,528441090,468000,20,1Fam,1Story,2490,0,0,2490,1.0,0.0,2,0,2,1,9,Typ,Normal,WD ,10,2009
105,906426195,240000,60,1Fam,2Story,1079,874,0,1953,1.0,0.0,2,1,3,1,9,Typ,Normal,WD ,6,2007
106,534275170,151500,20,1Fam,1Story,958,0,0,958,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,4,2007
107,923226180,73000,180,Twnhs,SFoyer,630,0,0,630,1.0,0.0,1,0,1,1,3,Typ,Normal,WD ,4,2006
108,923226320,75500,180,TwnhsE,SFoyer,630,0,0,630,1.0,0.0,1,0,1,1,3,Typ,Normal,WD ,5,2010
109,528118050,500067,20,1Fam,1Story,2290,0,0,2290,2.0,0.0,2,1,2,1,7,Typ,Partial,New,8,2007
110,916253320,330000,120,TwnhsE,1Story,1502,0,0,1502,1.0,0.0,1,1,1,1,5,Typ,Normal,WD ,9,2007
111,904300150,107500,50,1Fam,1.5Fin,725,499,0,1224,0.0,0.0,1,1,3,1,6,Mod,Normal,COD,1,2010
112,533236050,172500,160,Twnhs,2Story,983,756,0,1739,1.0,0.0,2,1,3,1,7,Typ,Abnorml,WD ,8,2009
113,527354160,185000,60,1Fam,2Story,1277,767,0,2044,0.0,0.0,2,1,3,1,7,Min1,Normal,WD ,3,2008
114,528435040,311872,20,1Fam,1Story,1726,0,0,1726,1.0,0.0,2,0,3,1,8,Typ,Partial,New,9,2007
115,534129230,165150,60,1Fam,2Story,1012,778,0,1790,1.0,0.0,1,2,4,1,8,Min2,Normal,WD ,11,2006
116,535325350,125000,20,1Fam,1Story,1056,0,0,1056,1.0,0.0,1,1,3,1,6,Typ,Normal,WD ,11,2006
117,902408080,159500,70,1Fam,2Story,1576,978,0,2554,0.0,0.0,1,1,3,1,8,Typ,Normal,WD ,7,2007
118,916455050,180500,20,1Fam,1Story,1312,0,0,1312,0.0,0.0,2,0,2,1,5,Typ,Normal,WD ,1,2007
119,909276200,160000,50,1Fam,1.5Fin,976,332,0,1308,1.0,0.0,1,1,2,1,7,Min2,Normal,WD ,6,2009
120,534277060,109008,20,1Fam,1Story,907,0,0,907,0.0,0.0,1,0,3,1,5,Typ,Normal,WD ,7,2008
121,905107280,153000,85,1Fam,SFoyer,1034,0,0,1034,0.0,1.0,1,0,3,1,6,Typ,Normal,WD ,5,2008
122,923204050,132250,20,1Fam,1Story,1040,0,0,1040,1.0,0.0,1,0,3,1,5,Typ,Normal,WD ,1,2007
123,531376050,184900,60,1Fam,2Story,831,754,0,1585,0.0,0.0,2,1,3,1,7,Typ,Normal,WD ,3,2006
124,903454010,127000,70,1Fam,2Story,773,582,0,1355,0.0,0.0,1,1,3,1,7,Typ,Normal,WD ,3,2007
125,906412010,475000,20,1Fam,1Story,2276,0,0,2276,1.0,0.0,2,0,3,1,7,Typ,Abnorml,WD ,6,2008
126,535301060,142000,20,1Fam,1Story,1154,0,0,1154,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,7,2007
127,534453080,112000,20,1Fam,1Story,808,0,0,808,0.0,0.0,1,0,2,1,5,Typ,Normal,COD,7,2007
128,911102180,80900,50,1Fam,1.5Fin,671,378,0,1049,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,5,2008
129,535403210,135000,20,1Fam,1Story,1105,0,0,1105,0.0,0.0,1,0,3,1,5,Typ,Normal,WD ,4,2009
130,531382120,193500,20,1Fam,1Story,1679,0,0,1679,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,10,2008
131,916455120,232500,20,1Fam,1Story,1440,0,0,1440,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,6,2008
132,905475510,114000,20,1Fam,1Story,1298,0,0,1298,0.0,0.0,2,0,3,1,5,Typ,Normal,COD,6,2010
133,916326090,257000,20,1Fam,1Story,2279,0,0,2279,0.0,0.0,2,1,4,1,7,Typ,Normal,WD ,7,2007
134,909101140,117000,50,1Fam,1.5Fin,984,620,0,1604,0.0,0.0,2,0,3,1,6,Min2,Normal,WD ,7,2009
135,907260050,213000,60,1Fam,2Story,992,940,0,1932,1.0,0.0,2,1,3,1,7,Typ,Normal,WD ,6,2007
136,907131090,212000,60,1Fam,2Story,827,834,0,1661,1.0,0.0,2,1,3,1,6,Typ,Normal,ConLw,4,2009
137,903206160,202500,70,1Fam,2Story,1017,810,0,1827,0.0,0.0,1,0,2,1,9,Typ,Normal,WD ,5,2006
138,528222020,185101,60,1Fam,2Story,738,754,0,1492,0.0,0.0,2,1,3,1,8,Typ,Partial,New,10,2006
139,526352090,167000,20,1Fam,1Story,1277,0,0,1277,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,4,2007
140,534201280,138500,20,1Fam,1Story,1052,0,0,1052,1.0,0.0,1,1,3,1,5,Typ,Normal,WD ,11,2006
141,908102330,102000,20,1Fam,1Story,1220,0,0,1220,0.0,0.0,1,0,2,1,6,Typ,Normal,COD,4,2006
142,906385010,198900,20,1Fam,1Story,1226,0,0,1226,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,5,2010
143,534276230,145000,90,Duplex,1Story,1712,0,0,1712,0.0,0.0,2,0,4,2,8,Typ,Family,WD ,6,2006
144,906420020,220000,60,1Fam,2Story,927,988,0,1915,1.0,0.0,2,1,3,1,8,Typ,Abnorml,WD ,2,2006
145,527404120,126000,20,1Fam,1Story,882,0,0,882,1.0,0.0,1,0,2,1,4,Typ,Normal,WD ,4,2010
146,907192010,200000,60,1Fam,2Story,920,941,0,1861,1.0,0.0,2,1,3,1,8,Typ,Normal,WD ,6,2006
147,527131030,278000,120,TwnhsE,1Story,1659,0,0,1659,1.0,0.0,2,0,2,1,5,Typ,Normal,WD ,10,2009
148,527452290,145000,20,1Fam,1Story,1387,0,0,1387,1.0,0.0,1,0,3,1,6,Typ,Normal,WD ,9,2006
149,907250030,318000,20,1Fam,1Story,1978,0,0,1978,1.0,0.0,2,1,3,1,8,Typ,Normal,WD ,5,2010
150,909251040,146500,50,1Fam,1.5Fin,759,539,0,1298,0.0,0.0,2,0,2,1,8,Typ,Normal,WD ,8,2007
151,535377100,86900,50,1Fam,1.5Fin,448,272,0,720,0.0,0.0,1,0,1,1,5,Typ,Normal,WD ,3,2006
152,528174050,213000,120,TwnhsE,1Story,1358,0,0,1358,0.0,0.0,2,0,2,1,6,Typ,Normal,WD ,8,2009
153,533128090,262000,20,1Fam,1Story,1624,0,0,1624,1.0,0.0,2,0,2,1,5,Typ,Normal,WD ,7,2006
154,533250110,217500,120,TwnhsE,1Story,1239,0,0,1239,1.0,0.0,1,1,1,1,4,Typ,Normal,WD ,8,2008
155,908186040,148000,180,TwnhsE,SLvl,1072,0,0,1072,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,6,2008
156,903231050,113000,45,1Fam,1.5Unf,884,0,0,884,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,7,2007
157,908152110,160500,60,1Fam,2Story,684,714,0,1398,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,2,2008
158,535476110,145000,90,Duplex,SFoyer,941,0,0,941,1.0,0.0,1,0,2,1,4,Typ,Normal,WD ,11,2009
159,533250050,245500,120,TwnhsE,1Story,1288,0,0,1288,1.0,0.0,1,1,1,1,4,Typ,Normal,WD ,12,2008
160,535325340,133500,20,1Fam,1Story,1005,0,0,1005,0.0,0.0,1,0,2,1,6,Typ,Normal,WD ,7,2006
161,909475050,198000,20,1Fam,1Story,1696,0,0,1696,0.0,0.0,2,0,3,1,7,Typ,Normal,WD ,2,2007
162,907196020,205000,20,1Fam,1Story,1541,0,0,1541,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,1,2006
163,533130160,285000,60,1Fam,2Story,1402,823,0,2225,1.0,0.0,2,1,4,1,7,Typ,Normal,WD ,6,2010
164,535102010,175000,85,1Fam,SFoyer,1280,0,0,1280,0.0,1.0,2,0,3,1,6,Typ,Normal,WD ,6,2007
165,531475220,160000,90,Duplex,2Story,964,918,0,1882,0.0,0.0,2,0,4,2,8,Typ,Normal,WD ,5,2009
166,527325070,272000,60,1Fam,2Story,1542,1330,0,2872,1.0,0.0,2,1,4,1,11,Typ,Normal,WD ,7,2008
167,911175440,115000,190,2fmCon,1.5Fin,1060,336,0,1396,0.0,0.0,2,0,4,2,8,Min2,Abnorml,WD ,10,2006
168,903226160,134000,50,1Fam,1.5Fin,608,524,0,1132,1.0,0.0,1,0,2,1,5,Typ,Abnorml,WD ,4,2010
169,902134100,78000,30,1Fam,1Story,899,0,0,899,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,9,2008
170,902111010,111500,30,1Fam,1Story,844,0,0,844,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,7,2006
171,535381040,142900,50,1Fam,1.5Fin,1313,0,1064,2377,0.0,0.0,2,0,3,1,8,Min2,Normal,WD ,6,2009
172,910202060,125500,50,1Fam,1.5Fin,796,358,0,1154,1.0,0.0,1,0,3,1,7,Typ,Normal,WD ,5,2010
173,535477180,125500,20,1Fam,1Story,864,0,0,864,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,12,2007
174,528429120,423000,20,1Fam,1Story,2097,0,0,2097,1.0,0.0,1,1,1,1,8,Typ,Partial,New,1,2006
175,908127050,119900,20,1Fam,1Story,1176,0,0,1176,1.0,0.0,1,0,2,1,5,Typ,Abnorml,WD ,12,2006
176,528439010,247000,20,1Fam,1Story,1460,0,0,1460,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,8,2008
177,906223110,226500,20,1Fam,1Story,1626,0,0,1626,1.0,0.0,2,1,3,1,7,Typ,Normal,WD ,4,2008
178,528358010,260400,20,1Fam,1Story,1720,0,0,1720,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,3,2010
179,532378160,135000,20,1Fam,1Story,1236,0,0,1236,0.0,0.0,1,0,3,1,6,Typ,Normal,WD ,6,2006
180,531450040,175900,60,1Fam,2Story,810,793,0,1603,0.0,0.0,2,1,3,1,7,Typ,Normal,WD ,7,2006
181,527326040,82500,20,1Fam,1Story,1411,0,0,1411,0.0,0.0,2,0,3,1,6,Typ,Family,WD ,4,2009
182,903204095,79500,40,1Fam,1Story,779,0,156,935,0.0,0.0,1,0,2,1,4,Typ,Normal,WD ,8,2008
183,527182170,207500,160,TwnhsE,2Story,1190,900,0,2090,1.0,0.0,2,0,3,1,6,Min1,Normal,WD ,9,2007
184,905105040,115000,20,1Fam,1Story,897,0,0,897,0.0,0.0,1,0,3,1,5,Typ,Normal,WD ,1,2007
185,528477020,249700,20,1Fam,1Story,1656,0,0,1656,0.0,0.0,2,0,3,1,7,Typ,Normal,WD ,7,2007
186,905202210,164000,20,1Fam,1Story,1000,0,0,1000,1.0,0.0,1,0,1,1,4,Typ,Normal,WD ,4,2006
187,903425190,220000,50,1Fam,1.5Fin,1611,875,0,2486,0.0,0.0,2,0,5,1,8,Typ,Normal,WD ,10,2006
188,535150210,135000,20,1Fam,1Story,1098,0,0,1098,1.0,0.0,1,0,3,1,6,Typ,Normal,WD ,7,2008
189,535453160,133700,20,1Fam,1Story,1040,0,0,1040,0.0,0.0,1,0,3,1,6,Typ,Normal,WD ,7,2006
190,535353130,112500,20,1Fam,1Story,924,0,0,924,0.0,0.0,1,0,2,1,6,Typ,Normal,WD ,6,2007
191,535456070,150000,50,1Fam,1.5Fin,1024,564,0,1588,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,3,2008
192,908250090,99000,20,1Fam,1Story,930,0,0,930,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,5,2008
193,527452070,146300,120,TwnhsE,1Story,1069,0,0,1069,0.0,1.0,2,0,2,1,4,Typ,Normal,WD ,7,2006
194,902325100,155000,75,1Fam,2.5Unf,1226,878,0,2104,0.0,0.0,2,0,5,1,9,Typ,Normal,WD ,7,2006
195,921126030,298751,20,1Fam,1Story,1728,0,0,1728,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,1,2008
196,905401060,256000,20,1Fam,1Story,1663,0,0,1663,1.0,0.0,1,0,2,1,6,Min1,Normal,WD ,3,2008
197,916402125,176000,20,1Fam,1Story,1137,0,0,1137,1.0,0.0,2,0,2,1,5,Typ,Normal,WD ,7,2006
198,531452010,120000,160,TwnhsE,2Story,626,591,0,1217,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,4,2009
199,528363070,321000,60,1Fam,2Story,1305,1189,0,2494,1.0,0.0,2,1,4,1,9,Typ,Normal,WD ,6,2006
200,533208090,190000,160,TwnhsE,2Story,840,840,0,1680,0.0,0.0,2,1,2,1,3,Typ,Normal,WD ,1,2010
201,534401130,174900,80,1Fam,SLvl,1165,0,0,1165,1.0,0.0,1,1,3,1,6,Typ,Normal,WD ,5,2008
202,910203230,85000,30,1Fam,1Story,641,0,0,641,0.0,0.0,1,0,2,1,4,Typ,Normal,WD ,3,2006
203,907420090,164990,20,1Fam,1Story,1310,0,0,1310,0.0,0.0,2,0,3,1,6,Typ,Partial,New,7,2006
204,902303100,144100,50,1Fam,1.5Fin,991,659,0,1650,0.0,0.0,2,0,3,1,6,Typ,Normal,WD ,11,2007
205,906392120,294900,20,1Fam,1Story,1590,0,0,1590,1.0,0.0,2,1,2,1,6,Typ,Partial,New,8,2006
206,903484080,50000,50,1Fam,1.5Fin,866,504,114,1484,0.0,0.0,2,0,3,1,6,Sal,Abnorml,COD,9,2007
207,527301320,260000,60,1Fam,2Story,1153,1200,0,2353,1.0,0.0,2,1,4,1,10,Typ,Normal,WD ,8,2009
208,527140090,180000,120,TwnhsE,1Story,1337,0,0,1337,1.0,0.0,2,0,2,1,5,Typ,Normal,WD ,10,2008
209,909428170,236500,20,1Fam,1Story,1898,0,0,1898,0.0,0.0,2,1,3,1,7,Typ,Normal,WD ,4,2008
210,905228050,63900,20,1Fam,1Story,660,0,0,660,0.0,0.0,1,0,2,1,5,Min2,Normal,WD ,6,2009
