,PID,SalePrice,LotFrontage,LotArea,LotShape,LandSlope,LandContour,MSZoning,Street,Alley,Neighborhood,LotConfig,Condition1,Condition2,Foundation,Utilities,Heating,HeatingQC,CentralAir,Electrical
16,531382110,163000,50.0,8480,IR1,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
17,906380120,203000,68.0,8814,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
18,909101060,67000,45.0,8248,Reg,Gtl,Lvl,RL,Pave,Grvl,Edwards,Inside,Norm,Norm,BrkTil,AllPub,GasA,TA,N,FuseF
19,534152050,205000,,10603,IR1,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
20,923252075,131250,62.0,7706,Reg,Gtl,Lvl,RL,Pave,,Mitchel,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
21,531376060,181000,65.0,7441,IR1,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
22,902201120,115000,50.0,6000,Reg,Gtl,Lvl,RM,Pave,,OldTown,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
23,923228080,98000,21.0,1477,Reg,Gtl,Lvl,RM,Pave,,MeadowV,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
24,902326030,265979,65.0,11700,IR1,Gtl,Lvl,RM,Pave,Pave,OldTown,Corner,Norm,Norm,Stone,AllPub,GasW,TA,N,SBrkr
25,527451330,105500,21.0,1680,Reg,Gtl,Lvl,RM,Pave,,BrDale,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
26,528218100,168165,58.0,13204,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,RRAn,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
27,916386140,201000,73.0,8925,IR1,Gtl,HLS,RL,Pave,,Timber,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
28,533221090,177500,,2117,Reg,Gtl,Lvl,FV,Pave,,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
29,534128010,200000,,10382,IR1,Gtl,Lvl,RL,Pave,,NWAmes,Corner,PosN,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
30,528106110,450000,105.0,15431,Reg,Gtl,Lvl,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
31,902206260,91300,50.0,5784,Reg,Gtl,Lvl,RM,Pave,,OldTown,Inside,Artery,Norm,BrkTil,AllPub,GasA,Gd,Y,FuseA
32,528222090,173500,64.0,7697,Reg,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
33,528218150,199500,100.0,18494,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
34,903400180,207000,64.0,13053,Reg,Gtl,Bnk,RL,Pave,Pave,BrkSide,Inside,Norm,Norm,BrkTil,AllPub,GasA,Gd,Y,SBrkr
35,535453210,155000,70.0,7931,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,FuseA
36,916386010,220000,88.0,11896,IR1,Gtl,Lvl,RL,Pave,,Timber,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
37,907181090,196000,68.0,9272,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
38,902206020,61500,52.0,7830,Reg,Gtl,Lvl,RM,Pave,,OldTown,Inside,Norm,Norm,BrkTil,AllPub,GasA,TA,Y,SBrkr
39,527327050,195000,,12046,IR1,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
40,527455250,129250,65.0,7150,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
41,528326110,291000,,11000,Reg,Gtl,Lvl,RL,Pave,,NoRidge,FR2,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
42,914452190,134000,71.0,9187,Reg,Gtl,Bnk,RL,Pave,,Mitchel,Corner,Norm,Norm,PConc,AllPub,GasA,TA,Y,SBrkr
43,535425060,186000,76.0,11355,IR1,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
44,532376250,133500,,8638,IR1,Gtl,Lvl,RL,Pave,,Sawyer,Inside,RRAe,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
45,535379110,148000,60.0,10800,Reg,Gtl,Lvl,RL,Pave,Grvl,OldTown,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
46,528118010,325300,101.0,14215,IR1,Gtl,Lvl,RL,Pave,,NridgHt,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
47,528235160,215000,59.0,11796,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
48,905478030,131000,60.0,11409,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
49,902106130,109500,56.0,4485,Reg,Gtl,Lvl,RM,Pave,Grvl,OldTown,Inside,Artery,Norm,PConc,AllPub,GasA,TA,Y,SBrkr
50,902102080,110000,60.0,10440,Reg,Gtl,Lvl,RM,Pave,Grvl,OldTown,Corner,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
51,909176170,150000,60.0,10890,Reg,Gtl,Lvl,RL,Pave,,SWISU,Inside,Norm,Norm,PConc,AllPub,Grav,Fa,N,FuseA
52,533206070,193800,32.0,3784,IR1,Gtl,Lvl,FV,Pave,Pave,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
53,527302020,178000,78.0,12090,Reg,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
54,907414060,179600,63.0,8500,Reg,Gtl,Lvl,RL,Pave,,CollgCr,FR2,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
55,904301060,179000,60.0,10800,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
56,532479020,140000,70.0,10759,Reg,Gtl,Lvl,RL,Pave,,Sawyer,Corner,Feedr,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
57,528110070,395000,110.0,14226,Reg,Gtl,Lvl,RL,Pave,,NridgHt,Corner,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
58,534429130,151500,80.0,10800,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
59,528365060,341000,96.0,10542,Reg,Gtl,Lvl,RL,Pave,,NoRidge,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
60,533135020,235000,,11949,Reg,Gtl,Lvl,RL,Pave,,NoRidge,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
61,910203100,72000,61.0,8534,Reg,Gtl,Low,RM,Pave,,IDOTRR,Inside,Norm,Norm,BrkTil,AllPub,GasA,TA,N,FuseA
62,905451390,154000,70.0,10512,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
63,533213010,222000,,3830,IR1,Gtl,Lvl,FV,Pave,Pave,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
64,528118030,390000,108.0,13418,Reg,Gtl,Lvl,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
65,907200340,128200,75.0,10650,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Corner,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
66,528164060,615000,106.0,12720,Reg,Mod,HLS,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
67,907202010,158000,,12250,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
68,528186180,254000,48.0,6240,Reg,Gtl,Lvl,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
69,909250060,169000,50.0,9638,Reg,Gtl,Lvl,RL,Pave,,SWISU,Inside,Feedr,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
70,528315060,284500,84.0,9660,Reg,Gtl,Lvl,RL,Pave,,NoRidge,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
71,528231020,184500,67.0,13300,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
72,528456230,210400,75.0,9000,Reg,Gtl,Lvl,FV,Pave,,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
73,907180120,214000,78.0,10264,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
74,911370410,392500,64.0,5587,IR1,Mod,HLS,RM,Pave,,Crawfor,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
75,527108090,274725,168.0,23257,IR3,Gtl,HLS,RL,Pave,,Gilbert,CulDSac,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
76,528222050,156932,73.0,8499,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
77,528429110,282922,49.0,15256,IR1,Gtl,Lvl,RL,Pave,,Somerst,CulDSac,RRAn,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
78,902328100,144000,65.0,8850,IR1,Gtl,Bnk,RM,Pave,,OldTown,Corner,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
79,527451410,88000,21.0,1680,Reg,Gtl,Lvl,RM,Pave,,BrDale,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
80,531477050,67500,70.0,9800,Reg,Gtl,Lvl,RH,Pave,,SawyerW,Corner,Feedr,Norm,BrkTil,AllPub,GasA,TA,N,FuseA
81,914476130,148000,140.0,11080,Reg,Gtl,Lvl,RL,Pave,,Mitchel,Corner,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
82,535453020,159000,80.0,8000,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,FuseA
83,535379100,120000,60.0,10800,Reg,Gtl,Lvl,RL,Pave,Grvl,OldTown,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
84,905108190,134900,,7252,IR1,Gtl,Lvl,RL,Pave,,Sawyer,CulDSac,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
85,905201110,185000,88.0,14175,Reg,Gtl,Lvl,RL,Pave,,Sawyer,Inside,PosA,Norm,CBlock,AllPub,GasA,TA,Y,FuseA
86,903227090,132500,50.0,6000,Reg,Gtl,Lvl,RM,Pave,,BrkSide,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,FuseF
87,905107300,160500,,7176,IR1,Gtl,Lvl,RL,Pave,,Sawyer,CulDSac,Norm,Norm,CBlock,AllPub,GasA,Fa,Y,SBrkr
88,903401070,165000,60.0,8850,Reg,Gtl,Bnk,RL,Pave,Pave,BrkSide,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
89,903230100,100000,60.0,6911,Reg,Gtl,Lvl,RM,Pave,,BrkSide,FR2,Feedr,Norm,PConc,AllPub,GasA,TA,Y,SBrkr
90,527105010,189900,74.0,13830,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
91,528480020,227875,84.0,10207,Reg,Gtl,Lvl,FV,Pave,,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
92,527402130,111900,68.0,10295,Reg,Gtl,Lvl,RL,Pave,,NAmes,FR2,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
93,909251080,145000,66.0,8969,Reg,Gtl,Bnk,RL,Pave,,Crawfor,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
94,908201120,118000,92.0,12108,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,N,FuseF
95,533221080,166000,,2998,Reg,Gtl,Lvl,FV,Pave,,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
96,535178100,148000,125.0,10000,Reg,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
97,535457050,99000,70.0,7000,Reg,Gtl,Lvl,RL,Pave,,NAmes,Corner,Feedr,Norm,Slab,AllPub,GasA,Gd,Y,SBrkr
98,923226270,86000,21.0,1526,Reg,Gtl,Lvl,RM,Pave,,MeadowV,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
99,535105090,165000,101.0,9150,IR1,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
100,533253070,211500,61.0,3782,IR1,Gtl,Lvl,RL,Pave,,Greens,CulDSac,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
101,907280170,210000,70.0,8750,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
102,914476450,228500,74.0,9990,Reg,Gtl,Lvl,RL,Pave,,Mitchel,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
103,535327200,132000,70.0,13300,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
104,528441090,468000,85.0,11128,Reg,Gtl,Lvl,RL,Pave,,Somerst,Corner,PosN,PosN,PConc,AllPub,GasA,Ex,Y,SBrkr
105,906426195,240000,,53107,IR2,Mod,Low,RL,Pave,,ClearCr,Corner,Feedr,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
106,534275170,151500,,12772,IR1,Gtl,Lvl,RL,Pave,,NAmes,CulDSac,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
107,923226180,73000,21.0,1470,Reg,Gtl,Lvl,RM,Pave,,MeadowV,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
108,923226320,75500,21.0,1491,Reg,Gtl,Lvl,RM,Pave,,MeadowV,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
109,528118050,500067,59.0,17169,IR2,Gtl,Lvl,RL,Pave,,NridgHt,CulDSac,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
110,916253320,330000,,9763,IR1,Gtl,Lvl,RM,Pave,,GrnHill,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
111,904300150,107500,72.0,10632,IR1,Gtl,Lvl,RL,Pave,,ClearCr,Inside,Norm,Norm,BrkTil,AllPub,GasA,Gd,N,SBrkr
112,533236050,172500,24.0,2645,Reg,Gtl,Lvl,FV,Pave,Pave,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
113,527354160,185000,80.0,10400,Reg,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
114,528435040,311872,79.0,9416,Reg,Gtl,Lvl,RL,Pave,,Somerst,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
115,534129230,165150,80.0,10400,Reg,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
116,535325350,125000,80.0,13600,Reg,Gtl,Bnk,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
117,902408080,159500,60.0,10800,Reg,Gtl,Bnk,RM,Pave,Grvl,OldTown,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
118,916455050,180500,,6718,IR1,Gtl,Lvl,RL,Pave,,Timber,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
119,909276200,160000,130.0,9600,IR1,Gtl,HLS,RL,Pave,,Crawfor,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
120,534277060,109008,77.0,8593,IR1,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
121,905107280,153000,,7703,IR1,Gtl,Lvl,RL,Pave,,Sawyer,CulDSac,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
122,923204050,132250,94.0,25286,Reg,Mod,HLS,RL,Pave,,Mitchel,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
123,531376050,184900,74.0,7632,IR1,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
124,903454010,127000,60.0,6882,Reg,Gtl,Lvl,RM,Pave,,IDOTRR,Inside,Norm,Norm,PConc,AllPub,GasA,TA,Y,SBrkr
125,906412010,475000,91.0,11778,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
126,535301060,142000,60.0,11556,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
127,534453080,112000,50.0,5175,Reg,Gtl,Lvl,RL,Pave,,BrkSide,Inside,RRAn,Feedr,CBlock,AllPub,GasA,Ex,Y,SBrkr
128,911102180,80900,52.0,5150,Reg,Gtl,Lvl,C (all),Pave,,IDOTRR,Corner,Feedr,Norm,PConc,AllPub,GasA,TA,N,FuseA
129,535403210,135000,90.0,10454,IR1,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,FuseA
130,531382120,193500,65.0,8125,Reg,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
131,916455120,232500,82.0,11202,IR1,Gtl,Lvl,RL,Pave,,Timber,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
132,905475510,114000,,11200,IR1,Gtl,Lvl,RL,Pave,,Edwards,CulDSac,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
133,916326090,257000,149.0,19958,Reg,Gtl,Lvl,RL,Pave,,Timber,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
134,909101140,117000,60.0,10998,Reg,Gtl,Lvl,RL,Pave,Grvl,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
135,907260050,213000,70.0,8749,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
136,907131090,212000,43.0,10667,IR2,Gtl,Lvl,RL,Pave,,CollgCr,CulDSac,PosN,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
137,903206160,202500,69.0,11737,IR1,Gtl,Bnk,RL,Pave,,BrkSide,Inside,Norm,Norm,BrkTil,AllPub,GasW,TA,N,SBrkr
138,528222020,185101,75.0,9073,IR1,Gtl,Lvl,RL,Pave,,Gilbert,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
139,526352090,167000,85.0,10628,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
140,534201280,138500,70.0,8400,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Feedr,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
141,908102330,102000,67.0,8877,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,FuseF
142,906385010,198900,94.0,10402,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
143,534276230,145000,70.0,8393,Reg,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
144,906420020,220000,80.0,10041,IR1,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
145,527404120,126000,70.0,8400,Reg,Gtl,Lvl,RL,Pave,,NAmes,Corner,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
146,907192010,200000,95.0,13450,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
147,527131030,278000,40.0,5664,IR1,Gtl,Lvl,RL,Pave,,StoneBr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
148,527452290,145000,65.0,7514,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
149,907250030,318000,80.0,10389,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
150,909251040,146500,51.0,6821,Reg,Gtl,HLS,RL,Pave,,Crawfor,Inside,Norm,Norm,BrkTil,AllPub,GasA,Gd,Y,SBrkr
151,535377100,86900,60.0,7008,Reg,Gtl,Lvl,RL,Pave,,OldTown,Corner,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
152,528174050,213000,47.0,6904,IR1,Gtl,Lvl,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
153,533128090,262000,89.0,12461,Reg,Gtl,Lvl,RL,Pave,,NoRidge,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
154,533250110,217500,22.0,11064,IR2,Gtl,Lvl,RL,Pave,,Veenker,CulDSac,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
155,908186040,148000,35.0,3675,Reg,Gtl,Lvl,RM,Pave,,Edwards,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
156,903231050,113000,51.0,6120,Reg,Gtl,Lvl,RM,Pave,,BrkSide,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
157,908152110,160500,72.0,7200,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
158,535476110,145000,75.0,8604,IR1,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
159,533250050,245500,38.0,14963,IR2,Gtl,Lvl,RL,Pave,,Veenker,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
160,535325340,133500,65.0,11050,Reg,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
161,909475050,198000,,20693,IR1,Gtl,Bnk,RL,Pave,,Crawfor,Corner,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
162,907196020,205000,118.0,13704,IR1,Gtl,Lvl,RL,Pave,,CollgCr,Corner,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
163,533130160,285000,88.0,11134,Reg,Gtl,Lvl,RL,Pave,,NoRidge,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
164,535102010,175000,,10050,IR1,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Ex,Y,SBrkr
165,531475220,160000,75.0,8250,Reg,Gtl,Lvl,RL,Pave,,SawyerW,Inside,Norm,Norm,Slab,AllPub,GasA,TA,Y,SBrkr
166,527325070,272000,,12227,IR1,Gtl,Lvl,RL,Pave,,NWAmes,Corner,PosN,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
167,911175440,115000,50.0,9000,Reg,Gtl,Lvl,C (all),Pave,,IDOTRR,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,N,SBrkr
168,903226160,134000,50.0,6000,Reg,Gtl,Lvl,RM,Pave,,BrkSide,Inside,Norm,Norm,BrkTil,AllPub,GasA,TA,Y,SBrkr
