Address,longitude,latitude
127 16th St,-93.6120649,42.0384559
425 20th St,-93.6168531,42.0423226
804 20th St,-93.621899,42.0418742
126 24th St,-93.6119462,42.0455279
211 16th St,-93.6130146,42.0385034
619 10th St,-93.6195046,42.0314234
903 Poe Ave,-93.6841576,42.01462679999999
618 16th St,-93.6195046,42.0381063
621 Carr Dr,-93.604745,42.0393808
314 12th St,-93.6145974,42.0330456
306 22nd St,-93.6142413,42.043602
428 26th St,-93.6169718,42.0470694
316 16th St,-93.6146172,42.0380861
430 Ash Ave,-93.6439683,42.0180944
419 15th St,-93.6164574,42.0371978
611 Ash Ave,-93.6447206,42.0165635
418 12th St,-93.6164574,42.0330258
626 10th St,-93.619742,42.0311455
3413 Coy St,-93.6654729,42.01806819999999
611 10th St,-93.6190495,42.031457
320 Ash Ave,-93.6439683,42.0194081
617 Barr Dr,-93.6191088,42.0430627
614 Poe Ave,-93.6835194,42.01689289999999
617 20th St,-93.6193463,42.0423214
623 Agg Ave,-93.6414541,42.0166863
520 20th St,-93.61831730000002,42.0418517
427 13th St,-93.6168531,42.0347131
310 24th St,-93.6147755,42.045497
417 10th St,-93.6164178,42.0314045
511 10th St,-93.617648,42.031501
609 Onyx St,-93.6045076,41.9962637
603 Ash Ave,-93.6447206,42.0168727
515 24th St,-93.6184361,42.045942
828 Ash Ave,-93.6440079,42.0145381
803 13th St,-93.621814,42.034769
232 21st St,-93.6140039,42.0427597
904 20th St,-93.6229082,42.04182309999999
839 Poe Ave,-93.6840741,42.0147885
223 20th St,-93.6136082,42.0422314
804 Poe Ave,-93.6834401,42.01596809999999
210 21st St,-93.6129255,42.0427059
510 26th St,-93.617882,42.04707940000001
618 Agg Ave,-93.640682,42.0169232
811 12th St,-93.622102,42.033493
212 10th St,-93.6128959,42.0310516
509 24th St,-93.618159,42.0459507
803 12th St,-93.6217209,42.033517
221 21st St,-93.6134499,42.0431634
425 15th St,-93.6167739,42.0372264
808 10th St,-93.6218792,42.0310782
611 11th St,-93.6190444,42.032287
602 Ash Ave,-93.6439683,42.0169351
618 13th St,-93.6194103,42.0342847
519 Poe Cir,-93.6846289,42.0176302
621 11th St,-93.6195046,42.0323119
208 22nd St,-93.6133707,42.0437452
619 Ash Ave,-93.6447206,42.016293
1249 24th St,-93.6280932,42.0458309
521 Brown Ct,-93.6857979,42.0174575
803 Duff Ave,-93.6108778,42.0291833
1217 25th St,-93.6267475,42.0466844
418 Opal Cir,-93.6057737,41.9939819
508 Lynn Ave,-93.6461263,42.0176976
3925 Ross Rd,-93.672564,42.0324847
431 Opal Cir,-93.6052594,41.9943846
208 Todd Cir,-93.6771994,42.0208624
4925 Utah Dr,-93.6854333,42.0294016
5106 Todd Dr,-93.6862734,42.021963
1014 Poe Ave,-93.6840147,42.0134959
1818 24th St,-93.6342289,42.0453283
413 E 6th St,-93.6051407,42.0272383
321 Jewel Dr,-93.606842,41.9934845
1304 16th St,-93.6270245,42.0380626
237 Todd Cir,-93.6777937,42.0198388
515 Brown Ct,-93.6857979,42.01768939999999
3301 Ross Rd,-93.6623833,42.0328865
703 Duff Ave,-93.610957,42.028215
202 Todd Cir,-93.6771796,42.0210369
2827 Wood St,-93.6569967,42.0223563
212 E 9th St,-93.6081476,42.0298871
930 Duff Ave,-93.6102447,42.0312893
1204 28th St,-93.6266287,42.0480785
1018 10th St,-93.6243726,42.031077
1020 10th St,-93.6245705,42.0310707
418 E 6th St,-93.604745,42.0268257
213 Todd Cir,-93.6778179,42.0206729
303 Ruby Cir,-93.6074948,41.9961894
1413 16th St,-93.6286474,42.0384749
1218 20th St,-93.626787,42.0417781
3605 Ross Rd,-93.6668594,42.03247349999999
3910 Ross Rd,-93.6719301,42.0320414
1404 28th St,-93.6292016,42.0478429
217 E 7th St,-93.6076531,42.0282606
2908 Wood St,-93.6576304,42.02191120000001
804 Duff Ave,-93.6100469,42.0293253
2913 Ross Rd,-93.6583829,42.0334387
3913 Ross Rd,-93.6720291,42.0324825
422 E 6th St,-93.604567,42.026812
3310 Opal Dr,-93.6072574,41.9927949
129 E 9th St,-93.6090577,42.0303221
1304 20th St,-93.62769740000002,42.041788
1231 25th St,-93.6273412,42.0466657
1036 Ash Ave,-93.6439881,42.0124326
2806 York Dr,-93.6483239,42.0500958
932 Yuma Ave,-93.6769617,42.0311853
2204 Barr Dr,-93.619465,42.0440557
3604 Ross Rd,-93.6668364,42.0319484
903 Yuma Ave,-93.6783682,42.030812
4404 Todd Dr,-93.6777343,42.0210192
321 E 6th St,-93.6059715,42.0272509
2201 Barr Dr,-93.6200715,42.043994
428 Jewel Dr,-93.6058528,41.9930129
810 Yuma Ave,-93.6777937,42.0298839
916 Duff Ave,-93.6102447,42.0307098
715 Lynn Ave,-93.6465816,42.0155772
4107 Ross Rd,-93.6747232,42.0323964
2110 Barr Dr,-93.6194388,42.0434688
4920 Utah Dr,-93.684765,42.029609
429 E 6th St,-93.6041516,42.0272693
2006 Polk Dr,-93.6357332,42.05308170000001
1204 20th St,-93.6261933,42.0417968
527 Brown Ct,-93.6857385,42.0172856
305 Topaz Ct,-93.6074948,41.9971172
515 Lynn Ave,-93.6466806,42.0173709
2833 Ross Rd,-93.6574324,42.0337393
922 Duff Ave,-93.6102843,42.0310177
4101 Ross Rd,-93.6744656,42.0324626
1411 20th St,-93.6299141,42.0421816
3907 Ross Rd,-93.671732,42.0324726
4406 Ross Rd,-93.6779918,42.0319636
1219 24th St,-93.6267079,42.045836
320 E 7th St,-93.6062089,42.027823
114 E 8th St,-93.6096512,42.02879679999999
1210 28th St,-93.6269039,42.0479498
3418 West St,-93.6643242,42.0246732
115 E 7th St,-93.6096512,42.0282173
315 S 4th St,-93.61444,42.019349
3218 West St,-93.660997,42.0247405
1206 26th St,-93.6261537,42.0471279
302 Opal Cir,-93.6073563,41.99400960000001
313 S 4th St,-93.6142413,42.0192252
1115 28th St,-93.6258371,42.0488372
2027 Polk Dr,-93.6367032,42.053611
826 Yuma Ave,-93.6780989,42.0304298
317 E 6th St,-93.6062089,42.0272821
3425 Ross Rd,-93.6648788,42.0324207
2824 Ross Rd,-93.6567946,42.0331962
3431 Ross Rd,-93.6651362,42.03239320000001
425 E 6th St,-93.6043494,42.0272631
223 E 6th St,-93.6075739,42.02741320000001
4027 Ross Rd,-93.6738714,42.0324816
3718 Ross Rd,-93.6689589,42.0320203
2812 Wood St,-93.6562046,42.02195649999999
221 Todd Cir,-93.6777343,42.0204783
1212 13th St,-93.6263121,42.0343381
2912 Wood St,-93.6579869,42.0219385
1703 24th St,-93.6325267,42.0458069
1310 20th St,-93.6280141,42.0417394
925 Yuma Ave,-93.6774735,42.0314116
1237 24th St,-93.6274995,42.0458497
3224 Ross Rd,-93.6618684,42.0323234
815 Duff Ave,-93.6109174,42.02964559999999
502 Brown Ct,-93.6852629,42.01815089999999
803 Yuma Ave,-93.6784637,42.02970699999999
1026 Poe Ave,-93.6842128,42.0131418
304 Topaz Ct,-93.607527,41.9967646
1504 24th St,-93.6304287,42.045371
1002 Poe Ave,-93.6838562,42.0138101
3304 Opal Dr,-93.6072772,41.9929683
223 E 9th St,-93.6077322,42.0304989
4929 Utah Dr,-93.68543,42.0291673
822 Yuma Ave,-93.6778135,42.0302117
2925 Ross Rd,-93.6586998,42.0331582
1819 24th St,-93.6344664,42.0457843
1410 16th St,-93.6284891,42.038055
507 Lynn Ave,-93.6466608,42.0176227
2220 Ash Ave,-93.6458689,42.0115421
3008 Wood St,-93.6588978,42.0219482
620 Lynn Ave,-93.6461065,42.0162878
120 E 7th St,-93.6094929,42.02775860000001
601 Jewel Dr,-93.6042703,41.9935264
2902 Wood St,-93.6571552,42.0219263
419 Lynn Ave,-93.6467004,42.0183942
320 S 2nd St,-93.6148547,42.0213891
3416 West St,-93.6641856,42.0246969
1111 28th St,-93.6256392,42.048882
926 Duff Ave,-93.6102843,42.0311722
2905 Wood St,-93.657472,42.0223412
503 Brown Ct,-93.6856394,42.0181581
3322 West St,-93.6627596,42.0247424
3219 Ross Rd,-93.6617892,42.0327895
1223 25th St,-93.627047,42.0467129
3616 Ross Rd,-93.6674932,42.0320284
3309 Ross Rd,-93.6626606,42.032839
2102 Barr Dr,-93.6194452,42.0431101
2910 Wood St,-93.6578284,42.0219435
411 Opal Cir,-93.6060902,41.9945132
3631 Ross Rd,-93.6678295,42.0325403
1213 24th St,-93.6264308,42.0458447
823 Yuma Ave,-93.6783484,42.0302525
4918 Todd Dr,-93.684728,42.021742
322 Topaz Ct,-93.6067035,41.9967554
2000 Polk Dr,-93.6354363,42.0531104
815 Furman Dr,-93.6219583,42.0450587
2613 Duff Ave,-93.6144787,42.0478429
218 Crane Ave,-93.6658691,42.0247013
4625 Twain St,-93.682041,42.016424
4120 Laura Ct,-93.626723,42.061867
2130 Duff Ave,-93.6123023,42.0441264
803 Furman Dr,-93.6214438,42.0451135
2735 Duff Ave,-93.614637,42.0492289
5409 Frost Dr,-93.6917028,42.0192775
2840 Aspen Rd,-93.647928,42.0511511
3115 Aspen Rd,-93.6545809,42.05175089999999
409 Beedle Dr,-93.6734752,42.0187017
603 Garnet Dr,-93.6044087,41.9897913
5207 Tabor Dr,-93.6882747,42.0267862
4025 Aplin Rd,-93.6723659,42.0200895
632 Meadow Pl,-93.6022015,41.9923793
5217 Tabor Dr,-93.688889,42.0267085
707 Beach Ave,-93.639712,42.01573670000001
2317 Baker St,-93.647314,42.0181233
3330 Jewel Dr,-93.6005118,41.9924069
727 Garnet Dr,-93.6017804,41.9918196
611 Hodge Ave,-93.6218099,42.027246
2238 Knapp St,-93.6461857,42.0189129
1314 Iowa Cir,-93.6591355,42.0350758
1018 N 2nd St,-93.6245705,42.0238461
206 Dotson Dr,-93.6711378,42.0209014
5430 Frost Dr,-93.6928521,42.0186645
3715 Jewel Dr,-93.6003734,41.98883499999999
1124 N 2nd St,-93.6263912,42.0238273
1205 Idaho Ct,-93.683752,42.0335589
432 E 20th St,-93.6053583,42.0416984
721 Clark Ave,-93.617328,42.0287102
3520 Story St,-93.6658295,42.0239685
3022 Story St,-93.6596702,42.023527
4715 Twain St,-93.6829939,42.016422
207 E 12th St,-93.6086102,42.0333934
548 Meadow Ct,-93.6039012,41.9917414
5408 Tabor Dr,-93.6908111,42.0251595
5454 Frost Dr,-93.6923765,42.0199127
2810 Aspen Rd,-93.6467796,42.0506854
426 E 20th St,-93.6056748,42.04168850000001
5449 Frost Dr,-93.6928521,42.0197042
609 Meadow Pl,-93.6032603,41.9923116
4126 Aplin Rd,-93.6747033,42.0197057
906 Murray Dr,-93.6231655,42.0390533
3014 Aspen Rd,-93.6521453,42.0515
2234 Knapp St,-93.6459481,42.01892040000001
3402 Jewel Dr,-93.6001162,41.9918394
2326 Knapp St,-93.6478884,42.01889750000001
3816 Hyde Ave,-93.6408008,42.0584432
4011 Dawes Dr,-93.6236206,42.0603757
1415 Duff Ave,-93.6110361,42.0363637
205 Dotson Dr,-93.6717122,42.0208251
621 Clark Ave,-93.6172488,42.0277082
704 Garnet Dr,-93.6024108,41.9910717
719 Meadow Pl,-93.6014982,41.9918268
732 Garnet Dr,-93.6013252,41.9914322
3305 Kent Ave,-93.6428993,42.0552106
5445 Frost Dr,-93.6928521,42.01954970000001
3318 Jewel Dr,-93.6007108,41.992797
2223 Duff Ave,-93.6143038,42.0447598
712 Clark Ave,-93.6166156,42.0284236
510 E 14th St,-93.6052989,42.0351916
4014 Dawes Dr,-93.6229478,42.0606671
313 E 16th St,-93.607257,42.0385
2312 Knapp St,-93.6470172,42.0188865
1322 Duff Ave,-93.6104228,42.0353593
1115 Iowa Ave,-93.6596503,42.0332439
3122 Story St,-93.6610366,42.0235415
5213 Tabor Dr,-93.6885917,42.026776
403 Beedle Dr,-93.6734752,42.0188563
4114 Aplin Rd,-93.67401,42.0196699
2315 Duff Ave,-93.6144392,42.0452179
3118 Aspen Rd,-93.6544621,42.0513298
2812 Arbor St,-93.6561848,42.0207014
214 E 16th St,-93.6081872,42.0381141
4117 Aplin Rd,-93.6741883,42.0201086
115 E 14th St,-93.6099678,42.0358951
510 Luther Dr,-93.6178424,42.0481234
4720 Dover Dr,-93.6819542,42.0278192
707 Meadow Pl,-93.6017723,41.9923452
3630 Story St,-93.6677507,42.0239652
817 Hodge Ave,-93.6219188,42.0294544
1112 Iowa Ave,-93.6590349,42.0330319
4714 Twain St,-93.682991,42.015927
719 Garden Rd,-93.6018174,41.9883839
2835 Aspen Rd,-93.6474924,42.0513966
5440 Frost Dr,-93.6923964,42.0193904
2822 Aspen Rd,-93.6472548,42.0508635
1214 N 3rd St,-93.6275787,42.024949
203 State Ave,-93.6594127,42.0213522
1306 Iowa Cir,-93.6589572,42.0346759
3217 Kent Ave,-93.6427211,42.0548108
2136 Duff Ave,-93.612566,42.044254
3508 Jewel Dr,-93.5998195,41.9908628
2222 Duff Ave,-93.6136073,42.04494649999999
3906 Dawes Dr,-93.6219979,42.0593843
914 Murray Dr,-93.6233238,42.0390483
513 Garden Rd,-93.6044879,41.9900208
5418 Frost Dr,-93.6920595,42.0187637
3913 Hyde Ave,-93.6405039,42.0605183
926 Idaho Ave,-93.682918,42.03035800000001
217 Dotson Dr,-93.6716924,42.02045870000001
1212 N 2nd St,-93.6274599,42.0238323
501 Garden Rd,-93.6052,41.9903078
2321 Baker St,-93.647473,42.0181189
500 Garden Rd,-93.6051802,41.9897478
3616 Jewel Dr,-93.5997998,41.9894523
3319 Tripp St,-93.6625418,42.0202094
4617 Twain St,-93.681633,42.016426
2407 Duff Ave,-93.6144787,42.0459891
5332 Tabor Dr,-93.6903355,42.0253293
702 Hodge Ave,-93.6213449,42.0279851
4629 Twain St,-93.682177,42.016424
723 Garnet Dr,-93.6019143,41.9917646
1017 N 2nd St,-93.6246101,42.0242312
3123 Story St,-93.6605613,42.023943
3127 Aspen Rd,-93.6551749,42.0515775
211 Dotson Dr,-93.6716528,42.0206532
4637 Twain St,-93.682586,42.016423
719 Garnet Dr,-93.6020629,41.9917322
2907 Duff Ave,-93.6163289,42.051446
721 Meadow Pl,-93.601443,41.9918749
3102 Aspen Rd,-93.653868,42.0515032
5303 Tabor Dr,-93.6896419,42.02633669999999
2322 Baker St,-93.6474926,42.01775079999999
1226 Idaho Ct,-93.682866,42.033805
4636 Twain St,-93.6825829,42.015929
4623 Twain St,-93.681905,42.016425
807 Hodge Ave,-93.6219665,42.02912250000001
546 Meadow Ct,-93.603968,41.991715
3220 Kent Ave,-93.6420876,42.0549853
3418 Jewel Dr,-93.5998393,41.9912681
1005 Yuma Ave,-93.6770013,42.031609
1218 N 3rd St,-93.6277568,42.0250013
2318 Baker St,-93.6472944,42.0177185
5025 Keats St,-93.6878982,42.0164242
2215 Storm St,-93.6451166,42.0163191
3412 Taft Ave,-93.6349613,42.0554423
715 Garnet Dr,-93.6023447,41.9916667
425 Beach Ave,-93.6397318,42.0180739
4813 Dover Dr,-93.6833609,42.0278708
611 Meadow Pl,-93.6032812,41.99232019999999
818 Murray Dr,-93.6222354,42.0390632
608 E 14th St,-93.6045472,42.0350606
4006 Hyde Ave,-93.6399245,42.0610265
411 E 13th St,-93.606162,42.0347269
311 Dotson Dr,-93.6716132,42.0193794
3306 Kent Ave,-93.6423449,42.0554212
2231 Storm St,-93.645827,42.016346
318 Crane Ave,-93.6658691,42.025474
1101 Iowa Ave,-93.6597296,42.03273919999999
217 E 16th St,-93.6081872,42.0384617
3822 Hyde Ave,-93.6406425,42.0586027
736 Garnet Dr,-93.6011328,41.9914306
3202 Aspen Rd,-93.6555375,42.050844
415 Beedle Dr,-93.6735148,42.0185459
3103 Cedar Ln,-93.6494327,41.9941519
4011 Hyde Ave,-93.6406156,42.061237
5007 Keats St,-93.6871453,42.0163711
1123 N 3rd St,-93.6265891,42.0253665
809 Clark Ave,-93.6172884,42.0293296
3115 Cedar Ln,-93.6494327,41.9937653
3023 Cedar Ln,-93.6494525,41.9945571
605 Meadow Pl,-93.6033603,41.9923178
633 Meadow Pl,-93.6021877,41.9926829
722 Clark Ave,-93.6166552,42.02869279999999
5402 Tabor Dr,-93.6905931,42.0252631
2041 Duff Ave,-93.61139,42.04313
1312 S 2nd St,-93.6291224,42.0213843
118 E 11th St,-93.6096908,42.0318476
3005 Cedar Ln,-93.6494525,41.9951757
3626 Story St,-93.667513,42.0239728
3502 Jewel Dr,-93.5997745,41.9910916
617 Clark Ave,-93.6172488,42.0275537
210 E 11th St,-93.6082663,42.03181499999999
619 E 13th St,-93.6040329,42.0347291
626 Meadow Pl,-93.602403,41.992342
1416 Duff Ave,-93.610403,42.0363449
706 Clark Ave,-93.6166156,42.0282304
4003 Hyde Ave,-93.6406169,42.0608661
5013 Keats St,-93.687383,42.0163634
3323 Tripp St,-93.6627002,42.0202044
2324 Knapp St,-93.6477098,42.0188839
115 E 13th St,-93.6099282,42.0347374
3838 Hyde Ave,-93.6401278,42.0591596
3619 Mary Cir,-93.666899,42.02779779999999
1213 S 2nd St,-93.6273412,42.0217496
535 Meadow Ct,-93.604501,41.991967
1402 Duff Ave,-93.6104426,42.0358802
2204 Duff Ave,-93.6130937,42.0444491
728 Garnet Dr,-93.6015203,41.9913668
5412 Tabor Dr,-93.691082,42.025101
615 Meadow Pl,-93.6029808,41.9924141
619 Meadow Pl,-93.6028301,41.992447
3411 Tripp St,-93.6653323,42.0202853
312 Crane Ave,-93.6658691,42.0252808
4716 Twain St,-93.683127,42.015927
825 Clark Ave,-93.6172884,42.0298319
4015 Hyde Ave,-93.6405237,42.061425
816 Grand Ave,-93.6199795,42.0294382
1507 Duff Ave,-93.6109965,42.0373307
5421 Frost Dr,-93.6923369,42.0191412
3642 Story St,-93.6682062,42.02397
1215 N 2nd St,-93.627737,42.0242485
2841 Aspen Rd,-93.6477696,42.051465
2320 Knapp St,-93.6473143,42.0188965
3618 Mary Cir,-93.6669782,42.0274862
607 E 13th St,-93.6045868,42.0347504
743 Garnet Dr,-93.6009052,41.9918319
1114 N 4th St,-93.6259954,42.0255398
2847 Aspen Rd,-93.6479676,42.0516132
3808 Hyde Ave,-93.6409196,42.058285
615 Garden Rd,-93.6035186,41.9889492
4634 Twain St,-93.682447,42.015929
4012 Hyde Ave,-93.6398846,42.0612755
1524 Duff Ave,-93.6104228,42.0378315
2823 Aspen Rd,-93.6470172,42.0511799
806 Murray Dr,-93.62195,42.03899
4709 Twain St,-93.682858,42.016422
540 Meadow Ct,-93.604173,41.9916571
3412 Tripp St,-93.6653593,42.019983
202 State Ave,-93.6589374,42.0214446
4125 Aplin Rd,-93.6747232,42.0201108
201 E 13th St,-93.6087412,42.0347747
2324 Storm St,-93.6475716,42.0158936
3842 Hyde Ave,-93.640009,42.0593178
3909 Hyde Ave,-93.6405237,42.060344
2227 Storm St,-93.6456566,42.0163572
832 Grand Ave,-93.6199993,42.0300363
104 E 20th St,-93.610355,42.0417879
2816 Aspen Rd,-93.6470568,42.0507925
515 E 13th St,-93.6050435,42.0347073
1110 S 2nd St,-93.6258767,42.02140929999999
4007 Hyde Ave,-93.640641,42.061048
5309 Tabor Dr,-93.6897608,42.0261784
601 Garden Rd,-93.6041516,41.989432
220 Beedle Dr,-93.6729205,42.0204582
1211 N 2nd St,-93.6274995,42.024256
1103 N 2nd St,-93.6255205,42.0242411
2811 Aspen Rd,-93.64652230000002,42.0509832
717 Meadow Pl,-93.6014709,41.9919692
4619 Twain St,-93.68176900000002,42.016426
720 Murray Dr,-93.621424,42.0390308
1118 N 3rd St,-93.6261537,42.0249939
4126 Laura Ct,-93.6269306,42.0613694
4717 Twain St,-93.68313,42.016422
322 Crane Ave,-93.6661493,42.025708
133 E 13th St,-93.609216,42.0347598
1412 Duff Ave,-93.610403,42.0361904
3920 Dawes Dr,-93.6222354,42.0598015
321 Crane Ave,-93.666574,42.025672
3702 Jewel Dr,-93.5998195,41.989239
926 Grand Ave,-93.6200226,42.0311112
2328 Baker St,-93.6477102,42.0177246
810 Hodge Ave,-93.6213251,42.0292799
3412 Jewel Dr,-93.599866,41.991493
1207 N 2nd St,-93.6273016,42.0242236
618 Doyle Ave,-93.6792399,42.0170299
721 Garnet Dr,-93.6019898,41.9917497
716 Hodge Ave,-93.6212657,42.02845120000001
107 Garden Rd,-93.6098095,41.9901439
1214 Adams St,-93.6287068,42.0596555
1127 N 2nd St,-93.6265693,42.024266
1912 Duff Ave,-93.6103634,42.0415608
2342 Storm St,-93.6483239,42.015947
824 Clark Ave,-93.6166552,42.02977449999999
2509 Storm St,-93.6507197,42.0163927
3232 Ellis St,-93.6610366,42.0257051
1027 N 2nd St,-93.6250455,42.0242561
2316 Knapp St,-93.6471549,42.0189011
211 E 16th St,-93.6084246,42.0384543
2222 Storm St,-93.6454927,42.01594009999999
912 Grand Ave,-93.6199768,42.0307048
636 Garden Rd,-93.6030834,41.9881896
227 Dotson Dr,-93.6717122,42.0202069
313 E 13th St,-93.6071189,42.0347483
3805 Dawes Dr,-93.622552,42.0586332
606 Doyle Ave,-93.6793192,42.01749100000001
1531 Linden Dr,-93.6052,42.0377635
2207 Hayes Ave,-93.6329621,42.0437076
2014 Kildee St,-93.6402861,42.0172449
2019 Friley Rd,-93.6404445,42.0150759
1823 Clark Ave,-93.6174665,42.0410866
4801 Idaho Cir,-93.6836219,42.0326879
119 Cherry Ave,-93.6045175,42.0220708
3127 Almond Rd,-93.65393290000002,42.0558098
1220 Truman Pl,-93.6268959,42.0519222
830 Wilson Ave,-93.6180799,42.0300001
619 Crystal St,-93.6035977,41.99722
1125 Grand Ave,-93.6206523,42.0329711
4811 Waller St,-93.684728,42.0138595
3218 Weston Dr,-93.6565611,42.06103220000001
824 Wilson Ave,-93.618159,42.0297659
2018 Cessna St,-93.6401278,42.0158588
2225 Donald St,-93.6456709,42.0171903
1608 Truman Dr,-93.6321308,42.0521915
3301 Foxley Dr,-93.6563631,42.05879909999999
3337 Weston Dr,-93.658222,42.0614974
2944 Monroe Dr,-93.6349811,42.0505568
2631 Stange Rd,-93.6452354,42.0482628
1305 Truman Pl,-93.6274377,42.0527762
2423 Grant Cir,-93.6423054,42.0570828
2838 Monroe Dr,-93.6347034,42.0496648
522 Smiley Ave,-93.687432,42.017463
1023 Grand Ave,-93.6206523,42.0321212
2217 Donald St,-93.645275,42.0171642
3010 Grove Ave,-93.6193661,42.051918
517 Smiley Ave,-93.688126,42.0176749
423 Oliver Ave,-93.6661464,42.0273969
622 Crystal St,-93.6035383,41.9967
4122 Quebec St,-93.674743,42.03299459999999
2985 Monroe Dr,-93.634015,42.051688
2966 Monroe Dr,-93.6345654,42.0512071
4914 Waller St,-93.686214,42.0138699
5103 Kansas Dr,-93.6879065,42.0377557
1802 Clark Ave,-93.6168531,42.0405072
207 Abraham Dr,-93.6765655,42.020844
627 Crystal St,-93.6030438,41.9971987
2006 Kildee St,-93.6397318,42.01733970000001
1317 Grand Ave,-93.6207315,42.0352092
2119 Furman Dr,-93.6216021,42.0442202
250 Campus Ave,-93.6566799,42.0271186
3226 Sumac Cir,-93.6564225,42.0502828
5234 Texas Cir,-93.6905931,42.03492079999999
115 Center Ave,-93.6070398,42.0234697
3332 Foxley Dr,-93.6583235,42.0584858
2332 Donald St,-93.6478884,42.0167723
827 Miller Ave,-93.6869075,42.0152194
2504 Eaton Ave,-93.6451958,42.0465648
231 Abraham Dr,-93.6766249,42.0200501
4811 Idaho Cir,-93.684289,42.03277
130 Cherry Ave,-93.603928,42.0218
3815 Quebec St,-93.6704052,42.0335699
3109 Almond Rd,-93.6530166,42.05587440000001
611 Chelsea Ct,-93.6799701,42.0274746
4915 Waller St,-93.6860753,42.0142801
5305 Kansas Dr,-93.690125,42.0380243
5308 Kansas Dr,-93.6904147,42.0374565
3709 Ashton Dr,-93.6505667,42.0572088
3307 Nixon Ave,-93.6281328,42.054596
1425 Truman Pl,-93.6290105,42.05271399999999
2417 Grant Cir,-93.642147,42.05724230000001
1509 Truman Dr,-93.6311412,42.0526089
2510 Eaton Ave,-93.645262,42.046782
1812 Clark Ave,-93.6168135,42.04074019999999
5325 Kansas Dr,-93.6911083,42.0379557
1706 Clark Ave,-93.6168333,42.0395615
2718 Luther Dr,-93.619387,42.048709
2009 Cessna St,-93.6399694,42.0164434
2514 Dalton St,-93.6427805,42.0540173
