,PID,SalePrice,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,GarageFinish,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
15,907405020,214000,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,192,74,0,0,0,RFn,Attchd,2002.0,RFn,2.0,532.0,TA,TA
16,531382110,163000,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,144,96,0,0,0,RFn,Attchd,1993.0,RFn,2.0,474.0,TA,TA
17,906380120,203000,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,264,98,0,0,0,RFn,Attchd,2005.0,RFn,2.0,508.0,TA,TA
18,909101060,67000,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,0,0,100,0,0,,,,,0.0,0.0,,
19,534152050,205000,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,168,68,0,0,0,RFn,Attchd,1977.0,RFn,2.0,480.0,TA,TA
20,923252075,131250,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,280,0,0,0,0,Fin,Attchd,1993.0,Fin,1.0,429.0,TA,TA
21,531376060,181000,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,0,32,0,0,0,RFn,Attchd,2006.0,RFn,2.0,566.0,TA,TA
22,902201120,115000,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,0,0,0,0,0,Unf,Detchd,1948.0,Unf,1.0,250.0,TA,TA
23,923228080,98000,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,187,0,0,0,0,,,,,0.0,0.0,,
24,902326030,265979,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,181,0,386,0,0,Unf,Detchd,1950.0,Unf,4.0,864.0,TA,TA
25,527451330,105500,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,0,0,0,0,0,Unf,Detchd,1997.0,Unf,1.0,320.0,TA,TA
26,528218100,168165,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,100,33,0,0,0,Fin,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA
27,916386140,201000,Gd,TA,Av,GLQ,16.0,Unf,0.0,1450.0,1466.0,100,18,0,0,0,Fin,Attchd,2007.0,Fin,3.0,610.0,TA,TA
28,533221090,177500,Gd,TA,No,GLQ,378.0,Unf,0.0,378.0,756.0,0,32,0,0,0,Unf,Detchd,2000.0,Unf,2.0,440.0,TA,TA
29,534128010,200000,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,235,204,228,0,0,RFn,Attchd,1973.0,RFn,2.0,484.0,TA,TA
30,528106110,450000,Ex,TA,Gd,GLQ,1430.0,Unf,0.0,564.0,1994.0,188,65,0,0,175,Fin,Attchd,2005.0,Fin,3.0,878.0,TA,TA
31,902206260,91300,Fa,TA,No,Unf,0.0,Unf,0.0,190.0,190.0,144,20,80,0,0,Unf,Attchd,1938.0,Unf,1.0,273.0,TA,TA
32,528222090,173500,Gd,TA,No,Unf,0.0,Unf,0.0,1246.0,1246.0,0,0,0,0,0,RFn,Attchd,2007.0,RFn,2.0,462.0,TA,TA
33,528218150,199500,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,36,23,0,0,0,Fin,Attchd,2005.0,Fin,2.0,430.0,TA,TA
34,903400180,207000,TA,TA,No,Unf,0.0,Unf,0.0,833.0,833.0,0,0,0,0,220,Unf,Detchd,1922.0,Unf,2.0,370.0,TA,TA
35,535453210,155000,TA,TA,No,BLQ,374.0,LwQ,532.0,363.0,1269.0,0,0,0,0,0,Unf,Detchd,1964.0,Unf,1.0,308.0,TA,TA
36,916386010,220000,Gd,TA,No,GLQ,78.0,Unf,0.0,1258.0,1336.0,100,48,0,0,0,Fin,Attchd,2008.0,Fin,3.0,660.0,TA,TA
37,907181090,196000,Gd,TA,No,GLQ,500.0,Unf,0.0,342.0,842.0,140,85,0,0,0,RFn,Attchd,1999.0,RFn,2.0,515.0,TA,TA
38,902206020,61500,Fa,TA,No,LwQ,416.0,Unf,0.0,76.0,492.0,0,0,78,0,0,Unf,Detchd,1921.0,Unf,1.0,200.0,Fa,TA
39,527327050,195000,TA,TA,No,LwQ,156.0,Unf,0.0,692.0,848.0,0,224,0,0,0,Fin,Attchd,1976.0,Fin,2.0,551.0,TA,TA
40,527455250,129250,TA,TA,No,BLQ,725.0,Unf,0.0,263.0,988.0,0,0,0,0,0,Unf,Detchd,1974.0,Unf,1.0,360.0,TA,TA
41,528326110,291000,Ex,TA,Mn,Unf,0.0,Unf,0.0,1519.0,1519.0,162,153,0,0,0,RFn,BuiltIn,2000.0,RFn,3.0,687.0,TA,TA
42,914452190,134000,TA,TA,No,ALQ,336.0,Unf,0.0,748.0,1084.0,120,0,158,0,0,Unf,Attchd,1983.0,Unf,2.0,484.0,TA,TA
43,535425060,186000,TA,TA,No,BLQ,637.0,Unf,0.0,675.0,1312.0,0,304,144,0,0,RFn,Attchd,1958.0,RFn,2.0,495.0,TA,TA
44,532376250,133500,TA,TA,No,ALQ,181.0,Unf,0.0,744.0,925.0,203,74,0,0,0,Unf,Detchd,1990.0,Unf,2.0,484.0,TA,TA
45,535379110,148000,Gd,TA,Av,Unf,0.0,Unf,0.0,736.0,736.0,0,112,0,0,0,,,,,0.0,0.0,,
46,528118010,325300,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,240,154,0,0,0,RFn,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA
47,528235160,215000,Gd,TA,Av,Unf,0.0,Unf,0.0,847.0,847.0,100,48,0,0,0,Fin,BuiltIn,2004.0,Fin,2.0,434.0,TA,TA
48,905478030,131000,TA,TA,No,LwQ,292.0,Unf,0.0,476.0,768.0,0,0,0,0,160,Unf,Attchd,1949.0,Unf,1.0,281.0,TA,TA
49,902106130,109500,TA,TA,No,BLQ,579.0,Unf,0.0,357.0,936.0,51,0,135,0,0,,,,,0.0,0.0,,
50,902102080,110000,TA,TA,No,Unf,0.0,Unf,0.0,440.0,440.0,74,0,128,0,0,Unf,Detchd,1966.0,Unf,2.0,440.0,TA,TA
51,909176170,150000,TA,TA,Mn,Rec,371.0,Unf,0.0,925.0,1296.0,0,742,240,0,0,,,,,0.0,0.0,,
52,533206070,193800,Gd,TA,No,GLQ,60.0,Unf,0.0,1451.0,1511.0,0,120,0,0,0,Fin,Attchd,2006.0,Fin,2.0,476.0,TA,TA
53,527302020,178000,Gd,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,268,112,0,0,147,Fin,BuiltIn,1984.0,Fin,2.0,477.0,TA,TA
54,907414060,179600,Gd,TA,Av,Unf,0.0,Unf,0.0,1422.0,1422.0,192,60,0,0,0,RFn,Attchd,2004.0,RFn,2.0,626.0,TA,TA
55,904301060,179000,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,120,0,0,0,0,,,,,0.0,0.0,,
56,532479020,140000,Gd,TA,No,LwQ,190.0,ALQ,811.0,0.0,1001.0,0,0,92,0,0,Unf,Detchd,1972.0,Unf,2.0,490.0,TA,TA
57,528110070,395000,Gd,TA,Av,Unf,0.0,Unf,0.0,1935.0,1935.0,315,45,0,0,0,Fin,Attchd,2006.0,Fin,3.0,895.0,TA,TA
58,534429130,151500,TA,TA,No,ALQ,632.0,Unf,0.0,616.0,1248.0,0,0,0,0,0,Unf,Attchd,1960.0,Unf,1.0,286.0,TA,TA
59,528365060,341000,Gd,TA,Gd,GLQ,1173.0,Unf,0.0,138.0,1311.0,250,154,216,0,0,RFn,Attchd,1993.0,RFn,3.0,983.0,TA,TA
60,533135020,235000,Gd,TA,No,GLQ,601.0,ALQ,216.0,158.0,975.0,502,60,0,0,0,Unf,Attchd,1991.0,Unf,2.0,524.0,TA,TA
61,910203100,72000,Fa,TA,No,Unf,0.0,Unf,0.0,432.0,432.0,0,0,112,0,0,,,,,0.0,0.0,,
62,905451390,154000,TA,TA,No,BLQ,491.0,Unf,0.0,497.0,988.0,366,0,0,0,0,Unf,Attchd,1954.0,Unf,1.0,332.0,TA,TA
63,533213010,222000,Gd,TA,No,Unf,0.0,Unf,0.0,1726.0,1726.0,0,254,0,0,0,Fin,Attchd,2008.0,Fin,2.0,561.0,TA,TA
64,528118030,390000,Ex,TA,Gd,GLQ,1420.0,Unf,0.0,430.0,1850.0,212,182,0,0,0,Fin,BuiltIn,2006.0,Fin,3.0,850.0,TA,TA
65,907200340,128200,TA,Gd,Av,LwQ,182.0,ALQ,712.0,0.0,894.0,365,0,0,0,0,Unf,Attchd,1976.0,Unf,1.0,308.0,TA,TA
66,528164060,615000,Ex,TA,Gd,GLQ,2257.0,Unf,0.0,278.0,2535.0,154,65,0,0,216,Fin,Attchd,2003.0,Fin,3.0,789.0,TA,TA
67,907202010,158000,Gd,TA,Mn,ALQ,781.0,Unf,0.0,83.0,864.0,211,0,280,0,0,Unf,Attchd,1978.0,Unf,2.0,528.0,TA,TA
68,528186180,254000,Gd,TA,No,GLQ,863.0,Unf,0.0,461.0,1324.0,192,38,0,0,0,Fin,Attchd,2006.0,Fin,2.0,550.0,TA,TA
69,909250060,169000,TA,TA,No,Unf,0.0,Unf,0.0,804.0,804.0,272,0,42,0,116,Unf,Detchd,1969.0,Unf,1.0,336.0,TA,TA
70,528315060,284500,Gd,TA,No,Unf,0.0,Unf,0.0,1173.0,1173.0,0,131,0,0,0,Fin,Attchd,1997.0,Fin,2.0,516.0,TA,TA
71,528231020,184500,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,100,0,0,0,0,Fin,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA
72,528456230,210400,Gd,TA,No,Unf,0.0,Unf,0.0,1335.0,1335.0,0,210,0,0,0,RFn,Attchd,2007.0,RFn,2.0,575.0,TA,TA
73,907180120,214000,Gd,TA,Av,ALQ,1162.0,Unf,0.0,426.0,1588.0,158,29,0,0,0,RFn,Attchd,1999.0,RFn,2.0,472.0,TA,TA
74,911370410,392500,Ex,TA,Gd,GLQ,1480.0,Unf,0.0,120.0,1600.0,162,53,0,153,0,Fin,Attchd,2008.0,Fin,2.0,482.0,TA,TA
75,527108090,274725,Ex,Gd,No,Unf,0.0,Unf,0.0,868.0,868.0,0,100,0,0,0,RFn,BuiltIn,2006.0,RFn,2.0,422.0,TA,TA
76,528222050,156932,Gd,TA,No,Unf,0.0,Unf,0.0,616.0,616.0,0,36,0,0,0,Fin,BuiltIn,2007.0,Fin,2.0,432.0,TA,TA
77,528429110,282922,Gd,TA,Gd,GLQ,929.0,Unf,0.0,556.0,1485.0,168,160,0,0,0,Unf,Attchd,2007.0,Unf,3.0,754.0,TA,TA
78,902328100,144000,TA,TA,No,Unf,0.0,Unf,0.0,815.0,815.0,0,0,330,0,0,Unf,Detchd,1916.0,Unf,1.0,225.0,TA,TA
79,527451410,88000,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,0,0,0,0,0,Unf,Detchd,1971.0,Unf,1.0,264.0,TA,TA
80,531477050,67500,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,121,0,80,0,0,Unf,Detchd,1920.0,Unf,1.0,429.0,TA,TA
81,914476130,148000,TA,TA,Av,GLQ,576.0,Unf,0.0,552.0,1128.0,0,0,0,0,0,Unf,Attchd,1975.0,Unf,2.0,528.0,TA,TA
82,535453020,159000,TA,TA,No,BLQ,476.0,Rec,488.0,292.0,1256.0,0,240,0,0,0,RFn,Attchd,1959.0,RFn,1.0,311.0,TA,TA
83,535379100,120000,TA,TA,No,Rec,821.0,Unf,0.0,299.0,1120.0,229,0,0,0,0,Unf,Detchd,1970.0,Unf,2.0,720.0,TA,TA
84,905108190,134900,Gd,TA,Av,GLQ,685.0,Unf,0.0,173.0,858.0,120,0,0,0,0,Unf,Detchd,1983.0,Unf,2.0,576.0,TA,TA
85,905201110,185000,TA,Gd,Gd,GLQ,776.0,Unf,0.0,212.0,988.0,102,89,231,0,0,Unf,Attchd,1956.0,Unf,2.0,621.0,TA,TA
86,903227090,132500,TA,TA,No,Unf,0.0,Unf,0.0,780.0,780.0,45,0,0,0,0,Unf,Detchd,1939.0,Unf,1.0,280.0,TA,TA
87,905107300,160500,TA,Gd,Gd,GLQ,794.0,Unf,0.0,166.0,960.0,131,0,0,0,180,Unf,Detchd,1979.0,Unf,2.0,616.0,TA,TA
88,903401070,165000,TA,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,0,54,144,0,0,Unf,Detchd,1977.0,Unf,2.0,576.0,TA,TA
89,903230100,100000,TA,TA,Mn,LwQ,405.0,Unf,0.0,740.0,1145.0,0,0,0,0,0,Unf,Detchd,1965.0,Unf,2.0,440.0,TA,TA
90,527105010,189900,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,212,34,0,0,0,Fin,Attchd,1997.0,Fin,2.0,482.0,TA,TA
91,528480020,227875,Gd,TA,No,Unf,0.0,Unf,0.0,874.0,874.0,144,105,0,0,0,Fin,Attchd,2007.0,Fin,2.0,578.0,TA,TA
92,527402130,111900,Gd,TA,Mn,Rec,252.0,Unf,0.0,684.0,936.0,16,0,0,0,0,Unf,Attchd,1969.0,Unf,1.0,288.0,TA,TA
93,909251080,145000,TA,TA,No,BLQ,379.0,Unf,0.0,265.0,644.0,0,0,0,0,192,Unf,Detchd,2001.0,Unf,1.0,369.0,TA,TA
94,908201120,118000,TA,TA,No,ALQ,133.0,Unf,0.0,1307.0,1440.0,0,0,0,0,0,,,,,0.0,0.0,,
95,533221080,166000,Gd,TA,No,GLQ,353.0,Unf,0.0,403.0,756.0,0,32,0,0,0,Unf,Detchd,2000.0,Unf,2.0,440.0,TA,TA
96,535178100,148000,TA,TA,Av,BLQ,678.0,Rec,281.0,99.0,1058.0,191,0,0,0,120,RFn,Basment,1956.0,RFn,1.0,300.0,TA,TA
97,535457050,99000,,,,,0.0,,0.0,0.0,0.0,0,0,0,0,0,Fin,Attchd,1961.0,Fin,1.0,300.0,TA,TA
98,923226270,86000,Gd,TA,Av,GLQ,515.0,Unf,0.0,115.0,630.0,0,0,0,0,0,Unf,Attchd,1970.0,Unf,1.0,286.0,TA,TA
99,535105090,165000,Gd,TA,Gd,GLQ,371.0,Unf,0.0,728.0,1099.0,64,110,0,0,0,RFn,Basment,1962.0,RFn,1.0,296.0,TA,TA
100,533253070,211500,Gd,TA,Gd,GLQ,960.0,Unf,0.0,266.0,1226.0,133,78,0,0,0,Fin,Attchd,1981.0,Fin,2.0,484.0,TA,TA
101,907280170,210000,Gd,TA,Av,GLQ,1111.0,Unf,0.0,306.0,1417.0,60,0,0,0,117,Unf,Attchd,1997.0,Unf,2.0,511.0,TA,TA
102,914476450,228500,Gd,TA,No,ALQ,1383.0,Unf,0.0,297.0,1680.0,428,120,0,0,0,Unf,Attchd,1991.0,Unf,2.0,432.0,TA,TA
103,535327200,132000,Gd,TA,No,Rec,377.0,Unf,0.0,551.0,928.0,261,0,156,0,0,Unf,Attchd,1956.0,Unf,1.0,252.0,TA,TA
104,528441090,468000,Ex,TA,Gd,GLQ,2158.0,Unf,0.0,300.0,2458.0,70,226,0,0,0,Fin,Attchd,2005.0,Fin,3.0,795.0,TA,TA
105,906426195,240000,Gd,TA,Av,GLQ,985.0,Unf,0.0,595.0,1580.0,216,231,0,0,0,Fin,Attchd,1992.0,Fin,2.0,501.0,TA,TA
106,534275170,151500,TA,TA,Mn,BLQ,498.0,Unf,0.0,460.0,958.0,0,0,0,0,0,RFn,Attchd,1960.0,RFn,1.0,301.0,TA,TA
107,923226180,73000,Gd,TA,Av,GLQ,522.0,Unf,0.0,108.0,630.0,0,0,0,0,0,,,,,0.0,0.0,,
108,923226320,75500,Gd,TA,Av,LwQ,150.0,GLQ,480.0,0.0,630.0,96,24,0,0,0,,,,,0.0,0.0,,
109,528118050,500067,Ex,TA,Av,GLQ,1684.0,Unf,0.0,636.0,2320.0,192,30,0,0,0,Fin,Attchd,2007.0,Fin,3.0,1174.0,TA,TA
110,916253320,330000,Gd,TA,No,GLQ,1102.0,ALQ,72.0,328.0,1502.0,0,0,0,0,0,Fin,Attchd,1998.0,Fin,1.0,286.0,TA,TA
111,904300150,107500,Gd,Fa,No,Unf,0.0,Unf,0.0,689.0,689.0,0,0,248,0,0,Unf,Detchd,1917.0,Unf,1.0,180.0,Fa,Fa
112,533236050,172500,Gd,TA,No,GLQ,649.0,Unf,0.0,321.0,970.0,115,0,0,0,0,Fin,Attchd,1999.0,Fin,2.0,480.0,TA,TA
113,527354160,185000,Gd,TA,Mn,Unf,0.0,Unf,0.0,738.0,738.0,28,73,0,0,0,Unf,Attchd,1980.0,Unf,2.0,489.0,TA,TA
114,528435040,311872,Ex,TA,No,GLQ,1126.0,Unf,0.0,600.0,1726.0,171,138,0,0,266,Fin,Attchd,2007.0,Fin,3.0,786.0,TA,TA
115,534129230,165150,TA,TA,No,Rec,247.0,Unf,0.0,485.0,732.0,148,0,0,0,147,RFn,Attchd,1972.0,RFn,2.0,484.0,TA,TA
116,535325350,125000,TA,TA,No,Rec,144.0,BLQ,912.0,0.0,1056.0,0,0,0,0,0,Fin,Attchd,1955.0,Fin,1.0,300.0,TA,TA
117,902408080,159500,TA,TA,No,Unf,0.0,Unf,0.0,718.0,718.0,0,48,143,0,0,Unf,Detchd,1996.0,Unf,2.0,704.0,TA,TA
118,916455050,180500,Ex,TA,Mn,GLQ,250.0,Unf,0.0,1017.0,1267.0,256,28,0,0,0,Unf,Attchd,2001.0,Unf,2.0,471.0,TA,TA
119,909276200,160000,TA,Fa,No,Rec,428.0,Unf,0.0,300.0,728.0,0,70,0,0,0,Unf,Detchd,1940.0,Unf,1.0,256.0,TA,TA
120,534277060,109008,TA,TA,No,Rec,288.0,Unf,0.0,619.0,907.0,0,0,0,0,0,Unf,Detchd,1964.0,Unf,1.0,352.0,TA,TA
121,905107280,153000,Gd,TA,Gd,ALQ,450.0,Unf,0.0,0.0,450.0,311,0,0,0,0,Fin,Basment,1978.0,Fin,2.0,504.0,TA,TA
122,923204050,132250,TA,TA,Gd,ALQ,633.0,Unf,0.0,431.0,1064.0,0,0,0,0,0,Unf,Attchd,1963.0,Unf,2.0,648.0,TA,TA
123,531376050,184900,Gd,TA,No,Unf,0.0,Unf,0.0,784.0,784.0,100,77,0,0,0,RFn,Attchd,2005.0,RFn,2.0,449.0,TA,TA
124,903454010,127000,TA,TA,No,Unf,0.0,Unf,0.0,684.0,684.0,136,0,115,0,0,,,,,0.0,0.0,,
125,906412010,475000,Gd,TA,Gd,GLQ,2085.0,Unf,0.0,186.0,2271.0,0,0,70,0,255,RFn,Attchd,2008.0,RFn,3.0,1348.0,Gd,TA
126,535301060,142000,TA,TA,No,BLQ,408.0,Unf,0.0,456.0,864.0,63,0,0,0,0,Unf,Detchd,1962.0,Unf,1.0,336.0,TA,TA
127,534453080,112000,TA,TA,No,BLQ,150.0,ALQ,404.0,254.0,808.0,143,0,0,0,0,Unf,Detchd,1963.0,Unf,1.0,308.0,TA,TA
128,911102180,80900,Po,TA,No,Unf,0.0,Unf,0.0,356.0,356.0,0,0,0,0,0,Unf,Detchd,1910.0,Unf,1.0,195.0,Po,Fa
129,535403210,135000,TA,TA,No,Rec,546.0,Unf,0.0,559.0,1105.0,0,0,0,0,0,Unf,Detchd,1957.0,Unf,1.0,308.0,TA,TA
130,531382120,193500,Gd,TA,No,GLQ,1138.0,Unf,0.0,270.0,1408.0,224,42,0,0,0,RFn,Attchd,1994.0,RFn,2.0,575.0,TA,TA
131,916455120,232500,Ex,TA,Av,GLQ,1029.0,Unf,0.0,403.0,1432.0,185,95,0,0,0,Fin,Attchd,2003.0,Fin,2.0,467.0,TA,TA
132,905475510,114000,TA,TA,Mn,Unf,0.0,Unf,0.0,1250.0,1250.0,0,144,0,0,0,Unf,Detchd,1964.0,Unf,2.0,504.0,TA,Fa
133,916326090,257000,TA,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,274,0,0,0,138,RFn,Attchd,1958.0,RFn,2.0,461.0,TA,TA
134,909101140,117000,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,984.0,0,68,0,0,0,Unf,Detchd,1977.0,Unf,2.0,660.0,TA,TA
135,907260050,213000,Gd,TA,No,GLQ,654.0,Unf,0.0,325.0,979.0,0,120,0,0,0,RFn,Attchd,2003.0,RFn,2.0,610.0,TA,TA
136,907131090,212000,Gd,TA,Av,GLQ,385.0,ALQ,344.0,70.0,799.0,158,61,0,0,0,RFn,Attchd,1996.0,RFn,2.0,550.0,TA,TA
137,903206160,202500,TA,TA,No,Unf,0.0,Unf,0.0,848.0,848.0,27,36,42,0,0,Unf,Detchd,1943.0,Unf,1.0,240.0,Fa,TA
138,528222020,185101,Gd,TA,No,Unf,0.0,Unf,0.0,738.0,738.0,100,32,0,0,0,Fin,Attchd,2006.0,Fin,2.0,440.0,TA,TA
139,526352090,167000,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,0,0,0,0,176,Unf,Attchd,1970.0,Unf,2.0,526.0,TA,TA
140,534201280,138500,TA,TA,Av,BLQ,1016.0,Unf,0.0,36.0,1052.0,356,0,0,0,0,RFn,Attchd,1968.0,RFn,1.0,288.0,TA,TA
141,908102330,102000,Fa,Fa,No,LwQ,836.0,Unf,0.0,0.0,836.0,0,0,0,0,0,Unf,Detchd,1951.0,Unf,2.0,396.0,TA,TA
142,906385010,198900,Gd,TA,No,Unf,0.0,Unf,0.0,1226.0,1226.0,0,36,0,0,0,RFn,Attchd,2009.0,RFn,3.0,740.0,TA,TA
143,534276230,145000,TA,TA,No,LwQ,528.0,Unf,0.0,1098.0,1626.0,272,54,0,0,0,Fin,Attchd,2005.0,Fin,2.0,588.0,TA,TA
144,906420020,220000,Gd,TA,Mn,GLQ,789.0,Unf,0.0,119.0,908.0,120,150,0,0,0,Fin,Attchd,1992.0,Fin,2.0,506.0,TA,TA
145,527404120,126000,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,240,0,0,0,0,Fin,Attchd,1970.0,Fin,2.0,525.0,TA,TA
146,907192010,200000,Gd,TA,No,GLQ,700.0,Unf,0.0,216.0,916.0,146,91,0,0,0,RFn,BuiltIn,2002.0,RFn,2.0,492.0,TA,TA
147,527131030,278000,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,212,59,0,0,0,Fin,Attchd,2000.0,Fin,2.0,499.0,TA,TA
148,527452290,145000,TA,TA,Mn,ALQ,373.0,Rec,108.0,462.0,943.0,0,0,240,0,0,RFn,Attchd,1974.0,RFn,1.0,300.0,TA,TA
149,907250030,318000,Gd,TA,No,GLQ,1682.0,Unf,0.0,296.0,1978.0,188,25,0,0,0,RFn,Attchd,2003.0,RFn,3.0,850.0,TA,TA
150,909251040,146500,TA,TA,No,BLQ,113.0,Unf,0.0,538.0,651.0,216,0,168,0,0,Unf,Detchd,1994.0,Unf,1.0,240.0,TA,TA
151,535377100,86900,Fa,Fa,No,Unf,0.0,Unf,0.0,448.0,448.0,0,0,70,0,0,Unf,Attchd,1900.0,Unf,1.0,280.0,Fa,TA
152,528174050,213000,Gd,TA,Av,ALQ,836.0,Unf,0.0,522.0,1358.0,192,36,0,0,0,RFn,Attchd,2005.0,RFn,2.0,484.0,TA,TA
153,533128090,262000,Gd,TA,No,GLQ,1456.0,Unf,0.0,168.0,1624.0,0,114,192,0,0,RFn,Attchd,1994.0,RFn,3.0,757.0,TA,TA
154,533250110,217500,Gd,TA,Gd,LwQ,560.0,GLQ,670.0,0.0,1230.0,172,24,0,0,0,Fin,Attchd,1995.0,Fin,2.0,477.0,TA,TA
155,908186040,148000,Gd,TA,Gd,GLQ,459.0,Unf,0.0,88.0,547.0,0,28,0,0,0,RFn,Basment,2005.0,RFn,2.0,525.0,TA,TA
156,903231050,113000,TA,TA,No,Unf,0.0,Unf,0.0,884.0,884.0,0,0,136,0,0,Unf,Detchd,1939.0,Unf,1.0,240.0,TA,TA
157,908152110,160500,TA,TA,Av,ALQ,288.0,Unf,0.0,396.0,684.0,0,0,0,0,0,Fin,Attchd,1976.0,Fin,2.0,440.0,TA,TA
158,535476110,145000,Gd,TA,Av,GLQ,941.0,Unf,0.0,0.0,941.0,0,40,0,0,0,Unf,Attchd,1978.0,Unf,2.0,564.0,TA,TA
159,533250050,245500,Gd,TA,No,GLQ,786.0,Unf,0.0,474.0,1260.0,120,30,0,0,224,Fin,Attchd,1996.0,Fin,2.0,500.0,TA,TA
160,535325340,133500,TA,TA,No,LwQ,488.0,Unf,0.0,517.0,1005.0,0,0,0,0,288,Unf,Attchd,1956.0,Unf,1.0,319.0,TA,TA
161,909475050,198000,Gd,TA,No,Rec,434.0,Unf,0.0,1262.0,1696.0,0,146,0,0,0,Fin,Attchd,1971.0,Fin,2.0,625.0,TA,TA
