,PID,GrLivArea,SalePrice,LotArea,Neighborhood,FullBath,BedroomAbvGr,OverallQual
155,903231050,884,113000,6120,BrkSide,1,2,5
156,908152110,1398,160500,7200,Edwards,1,3,6
157,535476110,941,145000,8604,NAmes,1,2,5
158,533250050,1288,245500,14963,Veenker,1,1,8
159,535325340,1005,133500,11050,NAmes,1,2,5
160,909475050,1696,198000,20693,Crawfor,2,3,7
161,907196020,1541,205000,13704,CollgCr,2,3,7
162,533130160,2225,285000,11134,NoRidge,2,4,8
163,535102010,1280,175000,10050,NAmes,2,3,5
164,531475220,1882,160000,8250,SawyerW,2,4,6
165,527325070,2872,272000,12227,NWAmes,2,4,6
166,911175440,1396,115000,9000,IDOTRR,2,4,5
167,903226160,1132,134000,6000,BrkSide,1,2,6
168,902134100,899,78000,6756,OldTown,1,2,5
169,902111010,844,111500,5633,OldTown,1,2,5
170,535381040,2377,142900,10410,OldTown,2,3,4
171,910202060,1154,125500,5436,IDOTRR,1,3,4
172,535477180,864,125500,6600,NAmes,1,2,5
173,528429120,2097,423000,20896,Somerst,1,1,8
174,908127050,1176,119900,16133,Edwards,1,2,5
175,528439010,1460,247000,10037,Somerst,2,3,8
176,906223110,1626,226500,9938,SawyerW,2,3,7
177,528358010,1720,260400,10593,NoRidge,2,3,7
178,532378160,1236,135000,6993,Sawyer,1,3,5
179,531450040,1603,175900,7153,SawyerW,2,3,6
180,527326040,1411,82500,11900,NWAmes,2,3,7
181,903204095,935,79500,9100,BrkSide,1,2,5
182,527182170,2090,207500,5062,StoneBr,2,3,7
183,905105040,897,115000,8665,Sawyer,1,3,5
184,528477020,1656,249700,11096,Somerst,2,3,8
185,905202210,1000,164000,13050,ClearCr,1,1,5
186,903425190,2486,220000,33120,OldTown,2,5,6
187,535150210,1098,135000,7390,NAmes,1,3,5
188,535453160,1040,133700,7560,NAmes,1,3,5
189,535353130,924,112500,15783,OldTown,1,2,5
190,535456070,1588,150000,7200,NAmes,1,3,5
191,908250090,930,99000,9520,Edwards,1,2,4
192,527452070,1069,146300,4043,NPkVill,2,2,6
193,902325100,2104,155000,6300,OldTown,2,5,7
194,921126030,1728,298751,11449,Timber,2,3,8
195,905401060,1663,256000,53227,ClearCr,1,2,4
196,916402125,1137,176000,13811,Timber,2,2,6
197,531452010,1217,120000,10762,SawyerW,1,3,6
198,528363070,2494,321000,10236,NoRidge,2,4,8
199,533208090,1680,190000,3515,Somerst,2,2,7
200,534401130,1165,174900,9020,NAmes,1,3,6
201,910203230,641,85000,7030,IDOTRR,1,2,4
202,907420090,1310,164990,8767,CollgCr,2,3,7
203,902303100,1650,144100,8398,OldTown,2,3,6
204,906392120,1590,294900,11645,CollgCr,2,2,8
205,903484080,1484,50000,10320,IDOTRR,2,3,4
206,527301320,2353,260000,13005,NWAmes,2,4,7
207,527140090,1337,180000,5395,StoneBr,2,2,8
208,909428170,1898,236500,26073,Crawfor,2,3,5
209,905228050,660,63900,9000,Sawyer,1,2,2
210,533234020,1789,223000,10646,Somerst,2,3,7
211,533212100,1200,151000,3180,Somerst,2,2,7
212,534475185,1505,149500,12160,NAmes,1,2,6
213,905452150,1609,149900,9525,Edwards,1,5,6
214,528176010,2696,500000,14300,NridgHt,2,3,9
215,535450160,1040,92900,8544,NAmes,2,2,3
216,533215040,1419,290000,4385,Somerst,1,2,9
217,528104010,2122,345474,14333,NridgHt,2,2,8
218,535325090,925,127000,8540,NAmes,1,3,5
219,909250210,1522,102000,6000,SWISU,2,4,5
220,527325110,1969,190000,11952,NWAmes,2,3,7
221,910202030,816,75200,3672,IDOTRR,1,2,5
222,535175180,1206,108538,10725,NAmes,1,3,5
223,534202160,1232,142250,9600,NAmes,1,3,5
224,916403020,1339,180000,8049,Timber,2,2,7
225,535354100,972,132000,8000,NAmes,1,2,6
226,905227050,1350,152400,8375,Sawyer,1,2,5
227,534451020,670,64000,3500,BrkSide,1,2,3
228,533120030,2810,302000,9572,NoRidge,2,4,8
229,905352010,1522,182000,11075,ClearCr,2,3,6
230,905108220,860,137000,8740,Sawyer,1,2,5
231,527165170,1642,168000,7655,Gilbert,2,3,6
232,535353190,1458,97500,17503,NAmes,1,3,6
233,528315070,1976,286000,9660,NoRidge,2,3,8
234,903232060,995,115000,6120,BrkSide,1,2,5
235,906204180,2559,209000,12128,SawyerW,2,4,6
236,906475110,2087,187500,12205,ClearCr,2,5,6
237,906223040,1958,220000,9317,SawyerW,2,3,7
238,909253190,790,91000,6292,SWISU,1,2,6
239,923400150,974,93500,10712,Mitchel,1,3,5
240,923226290,1092,79400,1484,MeadowV,1,3,4
241,909282020,2320,259500,7259,Crawfor,2,3,6
242,528110110,2464,417500,13693,NridgHt,2,4,8
243,534479320,1268,132000,7800,NAmes,1,2,5
244,528150110,2956,342000,13069,NridgHt,2,5,8
245,906380160,1240,194000,8556,CollgCr,2,2,7
246,911370460,1625,235000,4750,Crawfor,2,2,8
247,535477090,1117,136870,7590,NAmes,1,3,5
248,534478230,1113,147000,9600,NAmes,1,3,5
249,906426060,2144,277000,159000,ClearCr,2,4,6
250,528235190,1598,201490,9171,Gilbert,2,3,7
251,923225440,1112,85000,2592,MeadowV,1,3,5
252,923276030,833,149900,12887,Mitchel,1,2,5
253,909425060,1564,174500,12000,Crawfor,1,3,7
254,902332030,2291,133900,7200,OldTown,2,4,6
255,528188060,1626,173000,2268,NridgHt,2,2,7
256,527105140,1733,225000,12394,Gilbert,2,3,7
257,535477150,894,109500,6600,NAmes,1,2,5
258,535327210,1384,159000,13300,NAmes,1,2,5
259,533213070,1501,179400,2280,Somerst,2,3,7
260,904100100,2267,219000,12888,Sawyer,1,3,7
261,528188120,1626,175500,2628,NridgHt,2,2,7
262,528480180,1584,261329,10440,Somerst,2,2,8
263,528114040,1950,383000,14418,NridgHt,2,2,9
264,528235020,1515,179000,9024,Gilbert,2,3,6
265,908275110,1560,103500,11767,Edwards,1,2,5
266,905103140,1320,164500,11777,Sawyer,1,3,5
267,902402260,1086,55000,11340,OldTown,1,2,2
268,528235200,1374,170000,9434,Gilbert,2,3,7
269,528181060,1554,209500,4590,NridgHt,2,2,8
270,923275200,816,124500,8314,Mitchel,1,2,5
271,903451110,1108,139400,7449,IDOTRR,1,3,7
272,528181040,1368,202665,6792,NridgHt,2,2,7
273,908102110,992,155891,8842,Edwards,1,3,5
274,533217050,1252,160000,2160,Somerst,2,2,7
275,533350090,2944,150000,24572,Veenker,2,3,9
276,528445070,1830,221300,8778,Somerst,2,3,8
277,527212040,2576,361919,12438,StoneBr,2,4,8
278,907200270,1040,134900,8982,CollgCr,1,3,5
279,908201040,698,118000,9405,Edwards,1,2,5
280,907410100,1611,195800,8400,CollgCr,2,3,7
281,903481120,1666,135000,5160,IDOTRR,1,3,6
282,535453180,1242,152000,7903,NAmes,1,3,5
283,907227110,768,133900,7200,CollgCr,1,2,5
284,531453010,1097,152000,9672,SawyerW,2,3,6
285,531478010,1056,107000,8900,SawyerW,1,2,4
286,535403200,864,120000,7332,NAmes,1,2,6
287,527254020,2046,372500,11844,StoneBr,2,3,8
288,527366030,1874,220000,7500,Somerst,2,3,8
289,535325460,2039,167000,21299,NAmes,1,3,7
290,528110040,2552,479069,13891,NridgHt,2,3,9
291,906392090,1846,233555,13377,CollgCr,2,3,6
292,535452140,732,118900,7200,NAmes,1,2,5
293,535151160,1283,140000,7763,NAmes,1,3,5
294,535456050,1800,130000,8513,NAmes,2,6,5
295,903429110,1944,179900,9928,OldTown,2,3,7
296,916455150,1922,282000,11305,Timber,2,2,8
297,909425180,1647,217500,12984,Crawfor,2,3,5
298,528175050,1358,212500,10307,NridgHt,2,2,7
299,910205010,1656,126000,6000,IDOTRR,1,3,5
300,533206020,3005,280750,2880,Somerst,2,3,7
301,902427040,1248,87000,9439,OldTown,1,2,5
302,528427020,1468,244600,9612,Somerst,2,3,8
303,528458070,1547,215200,8640,Somerst,2,3,7
304,903401030,1716,162500,9144,BrkSide,2,4,6
305,909275040,1603,138000,9650,Crawfor,1,4,6
306,527163130,1516,181316,8803,Gilbert,2,3,6
307,905200350,1138,148000,15312,Sawyer,1,3,6
308,528363050,2063,315000,10750,NoRidge,2,3,8
309,908154205,4676,184750,40094,Edwards,3,3,10
310,903233140,854,132000,6120,BrkSide,1,2,7
311,905107070,1400,149500,7844,Sawyer,1,3,6
312,528240020,1720,183500,8244,Gilbert,2,3,7
313,906225180,1440,224500,9069,SawyerW,2,2,6
314,528114010,1868,415000,14780,NridgHt,2,2,9
315,907126030,990,155000,9750,CollgCr,1,3,5
316,904100160,1271,135000,21286,Sawyer,2,4,5
317,909254130,1646,164000,7128,Crawfor,2,4,7
318,535403030,952,128500,8300,NAmes,1,3,6
319,907412010,1720,196500,11645,CollgCr,2,3,7
320,903228080,1218,131000,6000,BrkSide,1,3,6
321,531452100,1217,151000,7175,SawyerW,2,2,6
322,526302030,1293,149900,11027,NAmes,2,2,6
323,902106090,1428,139900,6451,OldTown,1,4,7
324,527161090,1714,180000,8637,Gilbert,2,3,6
325,532353120,894,120750,6285,Sawyer,1,2,5
326,535453070,1246,154000,7500,NAmes,1,3,5
327,534252110,1422,139900,12342,NAmes,1,3,5
328,535327230,1764,100000,8838,NAmes,2,4,5
329,905425125,2358,240000,45600,ClearCr,3,5,6
330,908103280,1127,135000,6500,Edwards,1,3,6
331,528221060,1484,174000,12589,Gilbert,2,3,6
332,921128020,2018,378500,13214,Timber,2,3,9
333,528174040,1362,207000,6289,NridgHt,2,2,6
334,909256010,1465,131000,10164,SWISU,2,3,5
335,533212060,1236,152000,2544,Somerst,2,2,6
336,908204180,1152,61500,6882,Edwards,2,2,4
337,533223100,1080,147110,2403,Somerst,2,2,7
338,909176180,1551,137000,10890,SWISU,2,3,5
339,903475040,1382,128500,12358,OldTown,1,2,5
340,535426195,1600,207500,16321,NAmes,1,2,5
341,905103040,1683,172500,11184,Sawyer,2,3,6
342,528110100,2643,380000,13693,NridgHt,2,3,9
343,534431030,1043,137000,9724,NAmes,1,2,5
344,905300010,810,130000,10820,Sawyer,1,2,5
345,914474070,1961,215000,12209,Mitchel,2,3,6
346,534428100,1118,153000,11332,NAmes,1,3,5
347,533350050,1842,385000,50271,Veenker,0,0,9
348,908188130,1709,130000,2522,Edwards,2,3,6
349,534453150,1252,127000,7438,BrkSide,1,3,5
350,528458120,1959,270000,9000,Somerst,2,3,8
351,535179050,1092,141000,14850,NAmes,1,2,5
352,527302185,2064,235000,18559,NWAmes,2,3,7
353,534128190,2640,256900,10400,NWAmes,2,5,6
354,528180110,1866,336860,10110,NridgHt,2,2,9
355,916176125,2036,375000,215245,Timber,2,3,7
356,903454090,1375,141000,9000,IDOTRR,1,3,6
357,535457010,1116,160000,10000,NAmes,1,3,6
358,528462040,1428,182000,11639,Somerst,2,3,7
359,909428120,2259,217000,21000,Crawfor,2,3,6
360,916460060,1675,195000,7915,Timber,2,3,6
361,528431050,1636,255000,13501,Somerst,2,3,8
362,527110020,1474,168500,8530,Gilbert,2,3,7
363,535352080,1216,118500,8480,NAmes,1,2,5
364,527402250,1078,149900,12537,NAmes,1,3,5
365,535451040,988,119000,7200,NAmes,1,3,5
366,905452050,672,113000,9340,Edwards,1,2,4
367,903225090,1664,159000,5000,BrkSide,2,3,6
368,531363010,1218,159000,9605,SawyerW,1,3,7
369,923205025,1622,168000,32463,Mitchel,1,3,4
370,532377060,900,122000,9819,Sawyer,1,3,5
371,902109160,1740,122250,7308,OldTown,1,2,5
372,902128075,1027,120000,5400,OldTown,1,2,7
373,528178070,2649,421250,16900,NridgHt,2,4,8
374,903225160,1290,106900,5870,BrkSide,1,3,6
375,906380170,1220,194000,7406,CollgCr,2,2,7
376,528174020,1302,204000,3901,NridgHt,1,1,6
377,910201110,1123,100000,6060,IDOTRR,1,3,4
378,535325400,985,105000,7898,NAmes,1,2,4
379,535150070,1738,104900,12513,NAmes,2,4,4
380,533254100,1855,187000,9600,Veenker,2,3,6
381,533254130,1262,181500,9600,Veenker,2,3,6
382,907194110,1430,187100,16285,CollgCr,2,3,7
383,531375100,1158,158000,13072,SawyerW,1,3,6
384,532477030,1430,192000,19508,Veenker,2,3,6
385,534102025,1492,230000,8000,Somerst,2,3,7
386,905452160,1172,128000,9525,Edwards,1,3,5
387,533208050,1247,197000,3316,Somerst,1,1,8
388,905427030,3672,415000,19800,Edwards,3,5,6
389,535301010,943,135960,7032,NAmes,1,2,5
390,909280030,2057,250000,11500,Crawfor,1,3,7
391,528116010,1782,296000,16870,NridgHt,2,3,8
392,528228270,1258,172500,3922,Blmngtn,2,2,7
393,907252210,1788,236500,11838,CollgCr,2,3,8
394,909475020,1844,223000,16381,Crawfor,2,3,6
395,907253110,2161,230500,10400,CollgCr,2,3,7
396,535325280,1360,130000,7134,NAmes,1,3,5
397,532378240,902,125500,6173,Sawyer,1,3,5
398,908102260,1256,147500,9937,Edwards,1,3,5
399,908226180,774,79000,4270,Edwards,1,3,3
400,527425060,864,97000,10500,NAmes,1,2,4
401,527451540,987,97000,1680,BrDale,1,2,6
402,902128170,804,119000,7200,OldTown,1,2,5
403,903455090,1360,125500,7200,IDOTRR,1,2,5
404,535300120,1382,176000,19296,NAmes,1,3,6
405,910203250,540,82000,8154,IDOTRR,1,1,2
406,903228070,1142,93000,6000,BrkSide,1,3,5
407,527214060,2698,535000,16052,StoneBr,2,4,10
408,528427010,1580,235128,11932,Somerst,2,3,8
409,535451250,1904,138000,7200,NAmes,1,3,5
410,908152270,1132,176000,7024,Edwards,1,2,4
411,909452050,1982,208000,13607,Crawfor,2,3,6
412,532354160,864,141000,8499,Sawyer,1,3,5
413,531453100,1400,162000,10274,SawyerW,2,3,6
414,527328050,1177,151500,11850,NWAmes,2,3,6
415,907418010,1564,218836,11058,CollgCr,2,3,7
416,528344020,2582,322500,11002,NoRidge,2,4,8
417,532353180,1212,151000,8471,Sawyer,1,3,6
418,902106070,1296,127500,6000,OldTown,1,3,6
419,528221050,1326,203000,12216,Gilbert,2,3,6
420,534479300,936,121000,9888,NAmes,1,2,5
421,906223060,1775,213000,9317,SawyerW,2,3,7
422,535105060,1537,174000,8400,NAmes,1,3,6
423,528108040,2690,398800,12350,NridgHt,2,3,9
424,909279010,2480,205000,8145,Crawfor,2,5,7
425,527183030,1228,189000,4671,StoneBr,2,2,8
426,527276160,1934,185000,11900,Gilbert,2,3,5
427,902207130,832,12789,9656,OldTown,1,2,2
428,903227020,1196,128000,6000,BrkSide,1,3,6
429,908203100,960,90000,6410,Edwards,1,3,4
430,534152120,1334,167900,9650,NWAmes,2,2,6
431,907290240,848,143000,4426,CollgCr,1,1,6
432,528478030,1992,250000,9375,Somerst,2,3,8
433,910201180,1828,150909,9060,IDOTRR,2,3,5
434,533208140,1245,178000,3435,Somerst,2,1,7
435,528166150,2385,350000,14277,NridgHt,2,3,8
436,905107140,1285,143500,8197,Sawyer,1,3,6
437,527180100,1442,180500,11851,Gilbert,2,3,7
438,528458080,1792,255000,8640,Somerst,2,3,8
439,905101450,1068,154500,8414,Sawyer,1,3,6
440,914460110,1409,245000,12864,Mitchel,1,1,7
441,534400290,1313,153000,9350,NAmes,1,3,5
442,907254020,1852,230000,9066,CollgCr,2,3,8
443,528458030,1372,212700,8640,Somerst,2,3,8
444,528480060,2078,339750,10800,Somerst,2,3,8
445,905226050,1416,112000,25339,Sawyer,2,3,5
446,528253010,1314,207500,5063,NridgHt,2,2,7
447,528228345,1455,195000,3940,Blmngtn,2,2,7
448,527425140,864,120500,9000,NAmes,1,3,4
449,907135020,1099,144000,9525,CollgCr,1,3,5
450,533206040,1143,176400,3628,Somerst,1,1,7
451,535181140,1411,130000,12198,NAmes,1,3,5
452,902427045,882,97000,12702,OldTown,1,2,5
453,527405130,864,76500,7038,NAmes,1,3,4
454,528431040,1966,419005,12291,Somerst,2,1,10
455,527450210,987,83000,1953,BrDale,1,2,6
456,532378200,912,142000,6768,Sawyer,1,3,6
457,909278020,1343,154900,7681,Crawfor,1,3,5
458,534225110,1728,145000,11072,NAmes,2,6,5
459,909451130,1045,123900,1782,Blueste,1,2,6
460,528142020,2088,250000,8899,NridgHt,2,4,8
461,527404030,1050,143000,8510,NAmes,1,3,5
462,527162180,1633,183000,11184,Gilbert,2,3,6
463,534151180,2075,255000,10530,NWAmes,2,3,7
464,908204090,960,131750,6400,Edwards,1,2,5
465,532354070,999,132500,7758,Sawyer,1,3,5
466,527302070,1260,181900,10825,NWAmes,2,3,7
467,527214030,1884,387000,15401,StoneBr,2,2,9
468,533128030,2295,268000,13346,NoRidge,2,4,7
469,902330010,2358,122000,5250,OldTown,2,4,8
470,923228150,1344,97000,1533,MeadowV,1,3,4
471,527302080,2183,229000,13837,NWAmes,2,4,7
472,528344040,2450,340000,16545,NoRidge,2,3,8
473,535403040,912,115000,7800,NAmes,1,2,5
474,535375050,1656,135000,10410,OldTown,2,3,5
475,535376060,1352,149000,10800,OldTown,2,4,5
476,924151040,1803,285000,9892,Mitchel,2,3,8
477,528186160,1342,234250,6240,NridgHt,2,2,8
478,532351150,1654,119500,8927,Sawyer,2,4,6
479,905105010,1059,142500,9000,Sawyer,1,3,5
480,527452310,900,123000,7838,NAmes,1,3,5
481,909250200,1510,149000,4899,SWISU,1,3,6
482,905101300,1832,136000,10773,Sawyer,2,4,4
483,902329080,1288,119000,3600,OldTown,1,3,6
484,903225140,1210,124000,5000,BrkSide,1,3,5
485,533215080,1709,328900,5119,Somerst,2,2,9
486,534452060,1077,118000,7420,BrkSide,1,2,5
487,532476050,2646,260000,14330,Veenker,2,3,7
488,909428110,1336,157000,15750,Crawfor,1,2,5
489,528170040,2728,437154,20431,NridgHt,2,4,9
490,533110130,2417,260000,16059,NoRidge,2,4,8
491,921205030,2028,369900,11443,Timber,2,2,8
492,923203090,1216,164000,4500,Mitchel,2,2,6
493,535104120,1453,187500,10573,NAmes,2,3,6
494,528366070,2202,263000,11762,NoRidge,2,4,8
495,902205010,612,45000,5925,OldTown,1,1,2
496,923204040,1200,173000,14137,Mitchel,1,3,4
497,535378080,1281,128500,10284,OldTown,2,1,4
498,533251130,1432,194000,16157,Veenker,1,2,5
499,528235130,1414,178000,9056,Gilbert,2,3,8
500,903226130,1324,128000,6000,BrkSide,1,3,4
501,903235020,616,89000,6000,BrkSide,1,2,5
502,527425110,864,130000,9000,NAmes,1,3,4
503,902327070,2007,160000,8400,OldTown,2,3,6
504,903425270,1316,90000,8550,BrkSide,1,4,5
505,534127230,1740,150000,11050,NWAmes,1,4,6
506,914478100,1026,143000,8410,Mitchel,1,2,6
507,535301150,1050,156000,8092,NAmes,1,3,6
508,903225150,765,87000,5000,BrkSide,1,2,4
509,527402220,1002,148500,8750,NAmes,1,3,5
510,904351240,1112,63000,9780,Edwards,2,4,5
511,535452090,1041,128000,7350,NAmes,1,3,5
512,528108020,2042,253293,12704,NridgHt,2,3,8
513,528427070,1933,214000,14598,Somerst,2,4,6
514,902125020,1750,124000,9000,OldTown,1,3,5
515,910201050,1601,129850,7288,IDOTRR,2,3,5
516,527425090,864,115000,10500,NAmes,1,3,4
517,909277100,964,163500,13360,Crawfor,1,2,5
518,531452070,1332,145000,7175,SawyerW,2,2,6
519,528387050,2127,271000,10944,NoRidge,2,3,7
520,905480240,1111,95000,9084,Edwards,1,3,5
521,535476350,1395,192000,9760,NAmes,1,2,6
522,527258010,1856,394432,11394,StoneBr,1,1,9
523,906394060,1596,181000,9316,CollgCr,2,3,7
524,909282030,3447,381000,14100,Crawfor,3,4,8
525,905225040,1601,140000,13825,Sawyer,1,3,5
