,SalePrice,GrLivArea,LotArea,OverallQual,BSMT_LowQual,house_age_years,GarageCars,FullBath,HalfBath,BsmtExposure_ord,SaleTypeNew,PorchSF,ExterQualDisc,OverallCondDisc,BSMT_HighQual,KitchenQualDisc,Fireplaces,Pool,BedroomAbvGr,water_tower,graveyard,police,optician,slipway,bar,farmyard,cinema,supermarket,hotel,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,MasVnrType_None,MasVnrType_Stone
1005,299800,2715,8963,0.7142857142857142,487.0,32.52054794520548,2.0,3,1,1,0,204,-0.2857142857142857,-0.2857142857142858,655.0,0.04761904761904756,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,117500,925,9100,0.28571428571428564,925.0,44.52602739726027,1.0,1,0,1,0,0,-0.04761904761904773,-0.21428571428571436,0.0,-0.04761904761904773,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1986,145000,1072,3675,0.28571428571428564,0.0,1.3287671232876712,2.0,1,0,4,0,28,-0.04761904761904773,-0.047619047619047616,547.0,-0.04761904761904773,0,0,2,1,0,0,1,0,3,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1228,119000,1556,8512,0.28571428571428564,1556.0,46.6986301369863,0.0,2,0,1,0,0,-0.04761904761904773,-0.047619047619047616,0.0,-0.04761904761904773,0,0,4,0,1,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1161,306000,1704,11478,0.7142857142857142,486.0,3.331506849315069,3.0,2,0,1,0,50,0.04761904761904756,0.38095238095238093,1218.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2447,240000,2090,10000,0.7142857142857142,141.0,12.923287671232876,2.0,2,1,1,0,65,0.04761904761904756,0.38095238095238093,1079.0,0.04761904761904756,1,0,3,1,0,0,1,0,1,8,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,169500,1812,7590,0.28571428571428564,324.0,45.52602739726027,1.0,2,0,1,0,168,-0.04761904761904773,-0.047619047619047616,540.0,-0.04761904761904773,1,0,4,0,1,1,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,275000,2439,12728,0.7142857142857142,333.0,6.002739726027397,2.0,2,1,2,0,121,0.04761904761904756,0.38095238095238093,1198.0,0.04761904761904756,1,0,4,1,0,0,1,0,1,5,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,169900,1034,12328,0.42857142857142855,473.0,34.35342465753425,3.0,1,0,3,0,0,0.09523809523809518,0.09523809523809529,539.0,0.09523809523809518,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,194500,1232,7314,0.5714285714285714,508.0,2.0876712328767124,2.0,2,0,3,0,0,-0.09523809523809523,0.23809523809523814,724.0,-0.09523809523809523,0,0,2,1,0,0,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1145,172900,1549,2280,0.42857142857142855,194.0,9.254794520547945,2.0,2,1,1,0,32,0.09523809523809518,0.09523809523809529,550.0,0.09523809523809518,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
564,246990,1511,2938,0.5714285714285714,330.0,4.331506849315068,2.0,2,0,3,0,30,-0.09523809523809523,0.23809523809523814,1038.0,-0.09523809523809523,1,0,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
294,154000,1246,7500,0.28571428571428564,1246.0,51.36438356164384,1.0,1,1,1,0,0,-0.04761904761904773,-0.3809523809523809,0.0,-0.380952380952381,0,0,3,0,1,1,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1607,230000,1981,17082,0.42857142857142855,153.0,32.35068493150685,2.0,2,1,3,0,104,0.09523809523809518,0.09523809523809529,964.0,-0.23809523809523808,1,0,4,0,0,0,1,0,2,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,178740,1414,3072,0.5714285714285714,1375.0,2.331506849315069,2.0,2,0,1,0,20,-0.09523809523809523,0.23809523809523814,0.0,-0.09523809523809523,1,0,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1246,140200,1577,6435,0.42857142857142855,972.0,67.79452054794521,1.0,1,0,1,0,0,0.09523809523809518,0.09523809523809529,0.0,0.42857142857142855,1,0,3,0,0,1,1,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1045,124000,1074,7450,0.28571428571428564,894.0,51.035616438356165,2.0,1,0,1,0,72,-0.04761904761904773,-0.047619047619047616,0.0,-0.380952380952381,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
572,405000,2855,9233,0.857142857142857,358.0,6.167123287671233,3.0,2,1,3,0,55,0.19047619047619035,0.5238095238095237,1182.0,-0.1428571428571429,1,0,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,159000,965,11105,0.28571428571428564,0.0,14.506849315068491,2.0,1,0,3,0,0,-0.04761904761904773,-0.047619047619047616,870.0,-0.04761904761904773,0,0,2,1,0,0,0,0,1,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852,212999,1500,8760,0.7142857142857142,1453.0,1.4136986301369865,2.0,2,0,1,0,38,0.04761904761904756,0.38095238095238093,36.0,0.04761904761904756,1,0,3,1,0,0,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,144750,1806,7570,0.42857142857142855,780.0,45.1945205479452,2.0,1,1,1,0,55,0.09523809523809518,0.09523809523809529,0.0,0.09523809523809518,0,0,4,0,1,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,240000,1710,12118,0.5714285714285714,1710.0,5.252054794520548,2.0,2,0,2,0,228,-0.09523809523809523,0.23809523809523814,0.0,-0.09523809523809523,1,0,3,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,113000,884,6120,0.28571428571428564,884.0,68.54246575342465,1.0,1,0,1,0,136,-0.380952380952381,-0.3809523809523809,0.0,-0.04761904761904773,0,0,2,0,1,1,1,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1256,143000,1362,14115,0.28571428571428564,64.0,16.75890410958904,2.0,1,1,1,0,350,-0.04761904761904773,-0.047619047619047616,732.0,-0.04761904761904773,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1865,128000,1362,6155,0.42857142857142855,611.0,88.47671232876712,2.0,2,0,2,0,84,0.09523809523809518,-0.4047619047619047,0.0,0.09523809523809518,0,0,3,0,0,1,1,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
260,220000,1874,7500,0.7142857142857142,1058.0,9.169863013698633,2.0,2,1,1,0,134,0.04761904761904756,0.38095238095238093,0.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1140,245000,1524,20270,0.5714285714285714,925.0,29.26849315068493,2.0,2,0,4,0,0,0.23809523809523803,0.0714285714285714,599.0,0.23809523809523803,2,0,3,0,0,0,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2254,142500,1003,7937,0.42857142857142855,184.0,22.17808219178082,2.0,1,0,3,0,0,0.09523809523809518,-0.07142857142857145,819.0,0.09523809523809518,0,0,3,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1878,119000,1251,6900,0.42857142857142855,827.0,72.04931506849314,1.0,1,0,1,0,0,0.09523809523809518,-0.23809523809523797,0.0,0.42857142857142855,0,0,3,0,1,1,1,0,4,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1190,155000,1839,7700,0.42857142857142855,756.0,44.44383561643836,2.0,1,1,1,0,340,0.09523809523809518,0.09523809523809529,0.0,0.09523809523809518,1,0,4,0,1,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,171500,1279,10125,0.42857142857142855,555.0,31.10410958904109,2.0,2,0,1,0,83,0.09523809523809518,-0.07142857142857145,641.0,0.09523809523809518,2,0,3,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1058,315000,2365,17597,0.5714285714285714,581.0,38.52328767123288,2.0,2,0,1,0,144,-0.09523809523809523,-0.4285714285714286,1222.0,-0.4285714285714285,2,0,3,1,0,0,0,0,10,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1332,171000,1716,9247,0.42857142857142855,858.0,46.1945205479452,2.0,1,1,1,0,204,0.09523809523809518,-0.07142857142857145,0.0,0.09523809523809518,1,0,4,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,218000,1671,8170,0.5714285714285714,496.0,77.13698630136986,2.0,2,0,1,0,0,-0.09523809523809523,-0.09523809523809512,526.0,0.23809523809523803,1,0,4,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,150900,1728,12640,0.42857142857142855,1728.0,30.51780821917808,2.0,2,0,4,0,0,0.09523809523809518,0.09523809523809529,0.0,0.09523809523809518,0,0,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1197,280000,1924,12011,0.7142857142857142,130.0,8.419178082191781,2.0,2,1,3,0,449,0.04761904761904756,0.38095238095238093,956.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,234000,1557,3196,0.5714285714285714,1374.0,3.750684931506849,2.0,2,0,4,0,20,-0.09523809523809523,0.23809523809523814,0.0,-0.09523809523809523,1,0,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
295,139900,1422,12342,0.28571428571428564,978.0,47.61369863013699,1.0,1,0,1,0,36,-0.04761904761904773,-0.047619047619047616,0.0,-0.04761904761904773,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2203,410000,2036,13438,0.857142857142857,432.0,1.498630136986301,3.0,2,0,4,0,154,-0.1428571428571429,0.5238095238095237,1758.0,-0.1428571428571429,1,0,3,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1714,194000,1717,12400,0.28571428571428564,901.0,66.13150684931507,1.0,1,1,2,0,113,-0.04761904761904773,-0.21428571428571436,0.0,-0.04761904761904773,1,0,2,1,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
880,136500,1050,10659,0.28571428571428564,1050.0,45.03013698630137,1.0,1,0,1,0,319,-0.04761904761904773,-0.21428571428571436,0.0,-0.04761904761904773,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
546,99900,864,4060,0.28571428571428564,864.0,87.55616438356165,0.0,1,0,1,0,96,-0.04761904761904773,-0.5476190476190477,0.0,-0.04761904761904773,0,0,2,2,1,1,1,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020,285000,1668,11248,0.857142857142857,567.0,5.498630136986302,3.0,2,0,3,0,45,0.19047619047619035,0.5238095238095237,1059.0,0.19047619047619035,1,0,3,1,0,0,1,0,1,5,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1151,138500,894,8450,0.28571428571428564,341.0,45.276712328767125,1.0,1,0,1,0,144,-0.04761904761904773,-0.5476190476190477,553.0,-0.04761904761904773,1,0,3,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1836,236000,2256,8795,0.5714285714285714,652.0,9.254794520547945,2.0,2,1,1,0,54,-0.09523809523809523,0.23809523809523814,300.0,-0.09523809523809523,1,0,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2229,80000,747,4608,0.14285714285714285,747.0,65.45753424657535,1.0,1,0,1,0,0,-0.19047619047619052,-0.35714285714285715,0.0,-0.19047619047619052,0,0,2,0,1,1,1,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2402,275500,1702,10130,0.7142857142857142,408.0,2.164383561643836,3.0,2,0,3,0,69,0.04761904761904756,0.38095238095238093,1294.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1255,332000,1720,10816,0.857142857142857,616.0,1.8356164383561644,3.0,2,0,4,0,104,-0.1428571428571429,0.5238095238095237,1104.0,-0.1428571428571429,1,0,3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1903,130000,2034,43500,0.0,0.0,54.44931506849315,4.0,1,0,0,0,266,-0.33333333333333337,-0.33333333333333326,0.0,-0.33333333333333337,0,1,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,86900,720,7008,0.14285714285714285,448.0,106.23287671232876,1.0,1,0,1,0,70,-0.19047619047619052,-0.6904761904761905,0.0,0.14285714285714285,0,0,1,0,1,1,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
620,308030,1508,17485,0.5714285714285714,162.0,1.0,2.0,1,0,4,0,0,-0.09523809523809523,0.23809523809523814,1346.0,-0.09523809523809523,2,0,1,2,1,1,1,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1493,184100,1419,7750,0.7142857142857142,55.0,7.167123287671233,2.0,2,1,1,0,0,0.04761904761904756,0.38095238095238093,353.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,220000,1346,11896,0.5714285714285714,1258.0,2.331506849315069,3.0,2,0,1,0,48,-0.09523809523809523,0.23809523809523814,78.0,-0.09523809523809523,1,0,3,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1772,135000,1866,9482,0.28571428571428564,1866.0,51.95068493150685,2.0,2,0,1,0,0,-0.04761904761904773,0.11904761904761901,0.0,-0.04761904761904773,0,0,4,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1959,123000,864,7560,0.28571428571428564,251.0,37.35616438356164,2.0,1,0,1,0,0,-0.04761904761904773,-0.047619047619047616,613.0,-0.04761904761904773,0,0,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1029,307000,1694,10084,0.7142857142857142,317.0,3.5835616438356164,2.0,2,0,3,0,57,0.04761904761904756,0.38095238095238093,1369.0,0.04761904761904756,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
376,162000,1400,10274,0.42857142857142855,676.0,23.51232876712329,2.0,2,1,1,0,48,0.09523809523809518,-0.23809523809523797,0.0,0.09523809523809518,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1814,325000,1652,13173,0.857142857142857,80.0,3.835616438356164,2.0,2,0,1,0,102,0.19047619047619035,0.5238095238095237,1572.0,-0.1428571428571429,2,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2191,239900,1801,10463,0.7142857142857142,893.0,1.4136986301369865,3.0,2,1,1,0,116,0.04761904761904756,0.38095238095238093,0.0,0.04761904761904756,1,0,3,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1909,149000,1004,11241,0.42857142857142855,426.0,40.18904109589041,2.0,1,0,1,0,0,0.09523809523809518,-0.23809523809523797,578.0,0.09523809523809518,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,127000,1507,7910,0.28571428571428564,409.0,48.61643835616438,1.0,2,0,1,0,0,-0.04761904761904773,-0.047619047619047616,666.0,-0.04761904761904773,0,0,4,0,1,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2134,132000,1453,6360,0.28571428571428564,835.0,68.20821917808219,1.0,1,1,1,0,183,-0.04761904761904773,-0.21428571428571436,0.0,-0.380952380952381,2,0,3,0,1,1,1,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,109500,894,6600,0.28571428571428564,894.0,47.61369863013699,1.0,1,0,1,0,0,-0.04761904761904773,-0.047619047619047616,0.0,-0.04761904761904773,0,0,2,0,1,1,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2445,178000,1342,8174,0.5714285714285714,204.0,6.3342465753424655,2.0,2,1,1,0,56,-0.09523809523809523,0.23809523809523814,494.0,-0.09523809523809523,1,0,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
